arrive_or_depart,schedule,airline,flight_number,gate,terminal
D,2018-05-01T07:40:00,American Airlines,2061,A22,4
D,2018-05-01T07:40:00,American Airlines,2672,B11,4
D,2018-05-01T07:40:00,American Airlines,5889,B17,4
A,2018-05-01T07:40:00,American Airlines,5939,B19,4
A,2018-05-01T07:40:00,Southwest Airlines,1762,C3,4
A,2018-05-01T07:40:00,Southwest Airlines,980,D6,4
A,2018-05-01T07:41:00,American Airlines,758,A23,4
A,2018-05-01T07:44:00,American Airlines,3132,B15B,4
D,2018-05-01T07:45:00,Southwest Airlines,577,D2,4
D,2018-05-01T07:45:00,American Airlines,604,B7,4
D,2018-05-01T17:05:00,American Airlines,2571,A25,4
D,2018-05-01T17:05:00,American Airlines,686,A26,4
D,2018-05-01T17:05:00,American Airlines,5745,B19,4
A,2018-05-01T17:05:00,Southwest Airlines,151,C17,4
D,2018-05-01T17:10:00,Southwest Airlines,1446,C1,4
D,2018-05-01T17:10:00,American Airlines,3203,B20,4
D,2018-05-01T17:10:00,American Airlines,481,A20,4
D,2018-05-01T17:10:00,British Airways,290,B25,4
D,2018-05-01T17:10:00,American Airlines,1458,B6,4
A,2018-05-01T17:10:00,Southwest Airlines,255,C6,4
D,2018-05-01T17:12:00,American Airlines,3032,B16,4
D,2018-05-01T17:13:00,American Airlines,5894,B1,4
D,2018-05-01T17:14:00,American Airlines,5914,B17,4
D,2018-05-01T17:15:00,Southwest Airlines,1487,D6,4
A,2018-05-01T17:15:00,Southwest Airlines,5718,C13,4
A,2018-05-01T17:15:00,Southwest Airlines,32,C3,4
A,2018-05-01T17:15:00,Southwest Airlines,5435,D5,4
A,2018-05-01T17:19:00,American Airlines,2019,A24,4
D,2018-05-01T17:20:00,American Airlines,272,B11,4
D,2018-05-01T17:20:00,Sun Country Airlines,604,1,2
A,2018-05-01T17:20:00,Southwest Airlines,1129,D7,4
A,2018-05-01T17:20:00,Southwest Airlines,5506,D8,4
D,2018-05-01T17:21:00,American Airlines,771,A23,4
D,2018-05-01T17:25:00,Alaska Airlines,633,10,2
A,2018-05-01T17:25:00,United Airlines,1603,8,2
A,2018-05-01T17:29:00,American Airlines,537,B23,4
A,2018-05-01T17:30:00,Southwest Airlines,234,C16,4
A,2018-05-01T17:35:00,British Airways,289,B25,4
D,2018-05-01T17:40:00,Southwest Airlines,1158,D4,4
D,2018-05-01T17:40:00,American Airlines,636,B27,4
A,2018-05-01T17:41:00,American Airlines,5714,B18,4
A,2018-05-01T17:42:00,American Airlines,849,A10,4
A,2018-05-01T17:43:00,American Airlines,3045,B3,4
A,2018-05-01T17:44:00,Delta Air Lines,5741,18,3
A,2018-05-01T17:44:00,United Airlines,5512,3,2
D,2018-05-01T17:45:00,Southwest Airlines,681,C8,4
D,2018-05-01T17:45:00,Southwest Airlines,5375,C17,4
A,2018-05-01T17:45:00,Delta Air Lines,1115,19,3
A,2018-05-01T17:45:00,American Airlines,2106,A3,4
A,2018-05-01T17:45:00,American Airlines,5949,B1A,4
A,2018-05-01T17:46:00,American Airlines,1826,A12,4
A,2018-05-01T17:46:00,American Airlines,5981,B21,4
D,2018-05-01T17:50:00,Southwest Airlines,32,C3,4
D,2018-05-01T17:50:00,Southwest Airlines,256,C6,4
A,2018-05-01T17:51:00,American Airlines,5861,B7,4
A,2018-05-01T17:51:00,American Airlines,1119,B11,4
A,2018-05-01T17:53:00,American Airlines,5969,B1,4
A,2018-05-01T17:54:00,American Airlines,5846,B17,4
D,2018-05-01T17:55:00,Southwest Airlines,1627,C7,4
D,2018-05-01T17:55:00,Delta Air Lines,1537,17,3
A,2018-05-01T17:55:00,American Airlines,1878,B10,4
A,2018-05-01T17:56:00,American Airlines,5892,B20,4
A,2018-05-01T17:57:00,American Airlines,5862,B16,4
A,2018-05-01T00:20:00,Southwest Airlines,8511,C9,4
A,2018-05-01T17:59:00,American Airlines,450,A14,4
A,2018-05-01T18:00:00,Southwest Airlines,620,D6,4
A,2018-05-01T18:00:00,Southwest Airlines,1093,C9,4
A,2018-05-01T18:04:00,American Airlines,653,A13,4
A,2018-05-01T18:04:00,American Airlines,1535,B13,4
D,2018-05-01T18:05:00,Southwest Airlines,1201,C16,4
D,2018-05-01T18:05:00,Southwest Airlines,5661,D7,4
D,2018-05-01T18:05:00,Southwest Airlines,5719,C13,4
D,2018-05-01T18:05:00,Southwest Airlines,5435,D5,4
A,2018-05-01T18:07:00,Delta Air Lines,5833,15,3
A,2018-05-01T18:07:00,Delta Air Lines,2740,17,3
A,2018-05-01T18:08:00,American Airlines,2023,A30,4
A,2018-05-01T18:08:00,American Airlines,3102,B2,4
A,2018-05-01T18:09:00,American Airlines,1896,A27,4
A,2018-05-01T18:09:00,American Airlines,590,B12,4
A,2018-05-01T18:09:00,American Airlines,5953,B19,4
D,2018-05-01T18:10:00,Southwest Airlines,5506,D8,4
A,2018-05-01T18:10:00,Southwest Airlines,339,D1,4
A,2018-05-01T09:35:00,American Airlines,9626,A2,4
A,2018-05-01T18:15:00,Southwest Airlines,40,C7,4
A,2018-05-01T18:15:00,Southwest Airlines,1219,C12,4
A,2018-05-01T18:15:00,Southwest Airlines,1865,D2,4
A,2018-05-01T18:15:00,Southwest Airlines,1988,D3,4
D,2018-05-01T18:20:00,Southwest Airlines,636,C19,4
D,2018-05-01T18:20:00,United Airlines,5744,3,2
A,2018-05-01T18:25:00,Southwest Airlines,5422,D7,4
A,2018-05-01T18:25:00,Southwest Airlines,2032,C1,4
A,2018-05-01T18:25:00,Southwest Airlines,1394,C8,4
A,2018-05-01T18:25:00,Southwest Airlines,5579,C17,4
A,2018-05-01T18:26:00,Alaska Airlines,646,11,2
D,2018-05-01T18:30:00,Delta Air Lines,5806,18,3
A,2018-05-01T18:30:00,Southwest Airlines,725,C3,4
A,2018-05-01T18:31:00,American Airlines,1655,A20,4
A,2018-05-01T18:32:00,American Airlines,5902,B24,4
D,2018-05-01T18:35:00,Southwest Airlines,1093,C9,4
D,2018-05-01T18:37:00,Delta Air Lines,5693,15,3
A,2018-05-01T18:38:00,American Airlines,5794,A1,4
D,2018-05-01T18:40:00,American Airlines,5987,B16,4
D,2018-05-01T18:42:00,United Airlines,772,5,2
D,2018-05-01T18:43:00,American Airlines,5938,B1A,4
D,2018-05-01T18:44:00,American Airlines,3050,B3,4
D,2018-05-01T18:44:00,American Airlines,5863,B18,4
D,2018-05-01T18:45:00,Southwest Airlines,620,D6,4
A,2018-05-01T18:45:00,Southwest Airlines,5370,D5,4
D,2018-05-01T18:46:00,American Airlines,5981,B1,4
D,2018-05-01T18:47:00,American Airlines,5774,B20,4
A,2018-05-01T18:49:00,Frontier Airlines,1877,20,3
D,2018-05-01T18:50:00,American Airlines,5905,B21,4
D,2018-05-01T18:50:00,Delta Air Lines,2946,19,3
D,2018-05-01T18:51:00,American Airlines,877,B23,4
D,2018-05-01T18:52:00,American Airlines,5893,B22,4
D,2018-05-01T18:52:00,American Airlines,1119,B11,4
D,2018-05-01T18:55:00,Southwest Airlines,40,C7,4
D,2018-05-01T18:55:00,Southwest Airlines,339,D1,4
D,2018-05-01T18:55:00,American Airlines,402,B26,4
D,2018-05-01T18:55:00,American Airlines,5899,B16,4
A,2018-05-01T18:55:00,American Airlines,515,B28,4
A,2018-05-01T18:55:00,Southwest Airlines,644,D4,4
D,2018-05-01T18:57:00,American Airlines,614,A12,4
D,2018-05-01T18:59:00,American Airlines,545,A3,4
D,2018-05-01T19:00:00,American Airlines,2448,B13,4
A,2018-05-03T15:11:00,American Airlines,2026,A14,4
D,2018-05-03T15:15:00,American Airlines,865,A3,4
D,2018-05-03T15:15:00,American Airlines,985,A17,4
D,2018-05-03T15:16:00,American Airlines,574,B25,4
D,2018-05-03T15:16:00,American Airlines,5989,B17,4
D,2018-05-03T15:17:00,American Airlines,5929,B19,4
A,2018-05-02T19:00:00,Southwest Airlines,8704,C7,4
D,2018-05-03T15:20:00,American Airlines,558,A13,4
D,2018-05-03T15:20:00,American Airlines,3045,B3,4
D,2018-05-03T15:20:00,American Airlines,3102,B15A,4
A,2018-05-03T15:20:00,United Airlines,1107,6A,2
A,2018-05-03T15:23:00,American Airlines,535,B23,4
D,2018-05-03T15:24:00,American Airlines,5955,A1,4
D,2018-05-03T15:25:00,Southwest Airlines,2072,C13,4
D,2018-05-03T15:25:00,Southwest Airlines,5174,D8,4
D,2018-05-03T15:25:00,American Airlines,999,B11,4
D,2018-05-03T15:25:00,American Airlines,415,A12,4
A,2018-05-03T15:25:00,Southwest Airlines,5632,C9,4
D,2018-05-03T15:29:00,American Airlines,3198,B16,4
D,2018-05-03T15:30:00,Southwest Airlines,1920,D6,4
A,2018-05-03T15:30:00,Southwest Airlines,1383,C7,4
A,2018-05-03T15:30:00,Southwest Airlines,1879,C11,4
D,2018-05-03T15:30:00,American Airlines,2341,A22,4
D,2018-05-03T15:30:00,American Airlines,424,B11,4
D,2018-05-03T15:30:00,American Airlines,429,A11,4
D,2018-05-03T15:30:00,American Airlines,2089,B12,4
D,2018-05-03T15:30:00,American Airlines,2444,B13,4
D,2018-05-03T15:30:00,American Airlines,5864,B21,4
D,2018-05-03T15:30:00,American Airlines,1168,A9,4
A,2018-05-03T15:30:00,Delta Air Lines,2046,18,3
A,2018-05-03T15:31:00,Delta Air Lines,899,19,3
A,2018-05-03T15:33:00,American Airlines,404,A13,4
A,2018-05-03T15:35:00,American Airlines,2094,A8,4
A,2018-05-03T15:38:00,American Airlines,1700,A26,4
D,2018-05-03T15:40:00,Southwest Airlines,1575,C1,4
A,2018-05-03T15:40:00,Southwest Airlines,887,D7,4
D,2018-05-03T15:40:00,American Airlines,165,B4,4
A,2018-05-03T15:40:00,American Airlines,652,B10,4
A,2018-05-03T15:41:00,American Airlines,14,A7,4
A,2018-05-03T15:50:00,Southwest Airlines,172,C18,4
A,2018-05-03T15:50:00,Southwest Airlines,280,C18,4
A,2018-05-03T15:50:00,American Airlines,1434,A19,4
A,2018-05-03T15:51:00,American Airlines,686,A24,4
A,2018-05-03T15:52:00,American Airlines,2954,B1,4
D,2018-05-03T15:53:00,United Airlines,2424,7,2
A,2018-05-03T15:54:00,American Airlines,5931,B3,4
A,2018-05-03T15:56:00,American Airlines,5842,A1,4
A,2018-05-03T15:57:00,American Airlines,481,A20,4
A,2018-05-03T16:00:00,Southwest Airlines,1844,D6,4
D,2018-05-03T16:00:00,American Airlines,5901,B2,4
A,2018-05-03T16:01:00,American Airlines,3200,B18,4
A,2018-05-03T16:01:00,Delta Air Lines,2997,16,3
A,2018-05-03T16:02:00,American Airlines,2578,B14,4
A,2018-05-03T16:02:00,American Airlines,5918,B19,4
A,2018-05-03T16:03:00,United Airlines,5320,3,2
D,2018-05-03T16:05:00,American Airlines,459,B27,4
D,2018-05-03T16:05:00,American Airlines,497,A14,4
A,2018-05-03T16:07:00,American Airlines,1458,A27,4
A,2018-05-03T16:08:00,American Airlines,644,B6,4
D,2018-05-03T16:10:00,Southwest Airlines,1879,C11,4
A,2018-05-03T16:10:00,Southwest Airlines,974,C16,4
A,2018-05-03T16:10:00,American Airlines,462,A27,4
A,2018-05-03T16:11:00,American Airlines,5869,B18,4
A,2018-05-03T16:12:00,American Airlines,3199,B1A,4
A,2018-05-03T16:13:00,American Airlines,1289,A25,4
A,2018-05-03T16:14:00,American Airlines,887,A12,4
A,2018-05-03T16:14:00,American Airlines,5780,B17,4
A,2018-05-03T16:15:00,American Airlines,3036,B20,4
D,2018-05-03T16:17:00,United Airlines,739,6A,2
D,2018-05-03T16:20:00,Southwest Airlines,887,D7,4
A,2018-05-03T16:20:00,United Airlines,2249,7,2
A,2018-05-03T16:22:00,Delta Air Lines,5800,15,3
A,2018-05-03T16:22:00,United Airlines,1811,,2
D,2018-05-03T16:25:00,Southwest Airlines,1383,C7,4
D,2018-05-03T16:25:00,Delta Air Lines,2046,18,3
D,2018-05-03T16:25:00,United Airlines,2502,8,2
A,2018-05-03T16:25:00,Southwest Airlines,5578,C8,4
D,2018-05-03T16:26:00,Delta Air Lines,899,19,3
A,2018-05-03T16:30:00,Alaska Airlines,650,10,2
A,2018-05-03T16:30:00,Sun Country Airlines,603,1,2
A,2018-05-03T16:35:00,Southwest Airlines,1446,C3,4
A,2018-05-03T16:35:00,American Airlines,502,B28,4
D,2018-05-03T16:39:00,United Airlines,5968,3,2
D,2018-05-03T16:40:00,Southwest Airlines,126,C18,4
D,2018-05-03T16:40:00,Southwest Airlines,1844,D6,4
D,2018-05-03T16:40:00,Southwest Airlines,6722,C9,4
D,2018-05-03T16:40:00,American Airlines,564,A10,4
D,2018-05-03T16:45:00,Southwest Airlines,833,C18,4
D,2018-05-03T16:45:00,American Airlines,454,A8,4
D,2018-05-03T16:45:00,American Airlines,1886,B10,4
D,2018-05-03T16:45:00,American Airlines,3051,B1,4
D,2018-05-03T16:45:00,Delta Air Lines,2997,16,3
D,2018-05-03T16:50:00,Southwest Airlines,974,C13,4
D,2018-05-03T16:50:00,American Airlines,695,A29,4
D,2018-05-03T16:50:00,American Airlines,3255,B18,4
D,2018-05-03T16:54:00,American Airlines,711,A26,4
A,2018-05-03T16:55:00,Southwest Airlines,680,D6,4
A,2018-05-03T16:55:00,Southwest Airlines,1158,C1,4
D,2018-05-03T16:55:00,American Airlines,5963,A1,4
D,2018-05-03T16:55:00,American Airlines,5931,B17,4
A,2018-05-03T16:55:00,American Airlines,1872,A13,4
A,2018-05-03T16:55:00,Delta Air Lines,2887,17,3
D,2018-05-03T16:59:00,American Airlines,3011,B20,4
D,2018-05-03T16:59:00,Delta Air Lines,5800,15,3
A,2018-05-03T17:00:00,Southwest Airlines,1048,C17,4
D,2018-05-03T17:00:00,American Airlines,1072,B14,4
A,2018-05-03T17:05:00,Southwest Airlines,151,C11,4
D,2018-05-03T17:05:00,American Airlines,1952,B6,4
D,2018-05-03T17:05:00,American Airlines,686,A24,4
D,2018-05-03T17:05:00,American Airlines,2571,A19,4
D,2018-05-03T17:05:00,American Airlines,5745,B3,4
D,2018-05-03T17:10:00,Southwest Airlines,1446,C3,4
A,2018-05-03T17:10:00,Southwest Airlines,255,D7,4
D,2018-05-03T17:10:00,American Airlines,481,A5,4
D,2018-05-03T17:10:00,American Airlines,3203,B9,4
A,2018-05-02T15:25:00,Southwest Airlines,5632,C9,4
D,2018-05-02T15:25:00,Southwest Airlines,2072,C19,4
D,2018-05-02T15:25:00,Southwest Airlines,5174,D6,4
D,2018-05-02T15:25:00,American Airlines,999,B13,4
D,2018-05-02T15:25:00,American Airlines,415,A7,4
D,2018-05-02T15:29:00,American Airlines,3198,B7,4
D,2018-05-02T15:30:00,Southwest Airlines,1920,C7,4
A,2018-05-02T15:30:00,Delta Air Lines,2046,18,3
A,2018-05-02T15:30:00,Southwest Airlines,1383,D8,4
A,2018-05-02T15:30:00,Southwest Airlines,1879,C11,4
D,2018-05-02T15:30:00,American Airlines,2341,A14,4
D,2018-05-02T15:30:00,American Airlines,429,A20,4
D,2018-05-02T15:30:00,American Airlines,2089,A11,4
D,2018-05-02T15:30:00,American Airlines,2444,A23,4
D,2018-05-02T15:30:00,American Airlines,5864,A1,4
D,2018-05-02T15:30:00,American Airlines,1168,A21,4
A,2018-05-02T15:31:00,Delta Air Lines,899,19,3
