arrive_or_depart,schedule,airline,flight_number,gate,terminal
D,2017-10-01T00:45:00,American Airlines,1866,A11,4
D,2017-10-01T00:50:00,Spirit Airlines,972,2,2
D,2017-10-01T01:15:00,American Airlines,605,A13,4
D,2017-10-01T04:54:00,United Airlines,1904,6B,2
D,2017-10-01T05:05:00,American Airlines,400,A27,4
D,2017-10-01T05:20:00,American Airlines,542,A5,4
D,2017-10-01T05:40:00,American Airlines,2996,B7,4
D,2017-10-01T05:41:00,United Airlines,1191,5,2
D,2017-10-01T05:45:00,United Airlines,781,6A,2
A,2017-10-01T05:54:00,American Airlines,1945,A30,4
D,2017-10-01T06:00:00,Southwest Airlines,3656,C3,4
D,2017-10-01T06:00:00,Frontier Airlines,1870,20,3
D,2017-10-01T06:05:00,Delta Air Lines,5725,15,3
A,2017-10-01T06:11:00,American Airlines,673,A22,4
D,2017-10-01T06:15:00,Delta Air Lines,404,19,3
D,2017-10-01T06:20:00,Southwest Airlines,3863,D4,4
D,2017-10-01T06:20:00,Delta Air Lines,824,23,3
D,2017-10-01T06:25:00,Southwest Airlines,3234,C19,4
D,2017-10-01T06:25:00,Frontier Airlines,1850,25,3
D,2017-10-01T06:30:00,United Airlines,5326,3,2
D,2017-10-01T06:30:00,American Airlines,581,A19,4
D,2017-10-01T06:35:00,Southwest Airlines,2995,D8,4
D,2017-10-01T06:35:00,Southwest Airlines,4305,C7,4
D,2017-10-01T06:35:00,Southwest Airlines,4643,C14,4
D,2017-10-01T06:35:00,Southwest Airlines,4660,C17,4
D,2017-10-01T06:40:00,United Airlines,1844,8,2
D,2017-10-01T06:50:00,American Airlines,549,A26,4
D,2017-10-01T07:00:00,Southwest Airlines,4223,C13,4
A,2017-10-01T07:00:00,Southwest Airlines,3417,C14,4
A,2017-10-01T07:00:00,American Airlines,645,A20,4
D,2017-10-01T07:00:00,American Airlines,1969,A23,4
D,2017-10-01T07:00:00,Delta Air Lines,1668,18,3
D,2017-10-01T07:00:00,Delta Air Lines,2862,16,3
D,2017-10-01T07:05:00,United Airlines,656,7,2
D,2017-10-01T07:10:00,Southwest Airlines,4478,C1,4
A,2017-10-01T07:10:00,Southwest Airlines,3542,C6,4
A,2017-10-01T07:10:00,American Airlines,697,B23,4
A,2017-10-01T07:10:00,American Airlines,693,A24,4
D,2017-10-01T07:15:00,Southwest Airlines,3056,D3,4
A,2017-10-01T07:15:00,Southwest Airlines,5088,C9,4
D,2017-10-01T07:15:00,Delta Air Lines,5809,15,3
D,2017-10-01T07:18:00,United Airlines,1418,6B,2
D,2017-10-01T07:20:00,Southwest Airlines,4371,D8,4
D,2017-10-01T07:20:00,American Airlines,491,B6,4
D,2017-10-01T07:25:00,Southwest Airlines,3293,D2,4
D,2017-10-01T07:25:00,American Airlines,1196,A9,4
D,2017-10-01T07:25:00,American Airlines,1856,A13,4
A,2017-10-01T07:28:00,American Airlines,664,A26,4
A,2017-10-01T07:29:00,American Airlines,595,A19,4
D,2017-10-01T07:30:00,Delta Air Lines,5716,17,3
D,2017-10-01T07:30:00,Hawaiian Airlines,35,24,3
A,2017-10-01T07:32:00,American Airlines,938,A3,4
A,2017-10-01T07:39:00,American Airlines,616,A4,4
A,2017-10-01T07:39:00,American Airlines,1598,B13,4
A,2017-10-01T07:39:00,American Airlines,532,A17,4
A,2017-10-01T07:39:00,American Airlines,463,,4
A,2017-10-01T07:40:00,Southwest Airlines,5167,C19,4
A,2017-10-01T07:43:00,American Airlines,5756,B26,4
A,2017-10-01T07:43:00,Frontier Airlines,1869,20,3
A,2017-10-01T07:44:00,American Airlines,1985,A5,4
A,2017-10-01T07:44:00,American Airlines,1650,B6,4
D,2017-10-01T07:45:00,Southwest Airlines,3770,C4,4
D,2017-10-01T07:45:00,Southwest Airlines,4682,C8,4
A,2017-10-01T07:45:00,American Airlines,675,B28,4
A,2017-10-01T07:45:00,American Airlines,761,,4
A,2017-10-01T07:46:00,American Airlines,106,A25,4
D,2017-10-01T07:50:00,Southwest Airlines,3542,C6,4
A,2017-10-01T07:50:00,Southwest Airlines,3937,C13,4
A,2017-10-01T07:51:00,American Airlines,3068,B7,4
A,2017-10-01T07:51:00,American Airlines,1452,B14,4
A,2017-10-01T07:51:00,American Airlines,3022,B16,4
A,2017-10-01T07:52:00,American Airlines,5760,B21,4
D,2017-10-01T07:55:00,Southwest Airlines,5088,C7,4
D,2017-10-01T07:55:00,Southwest Airlines,5124,C16,4
A,2017-10-01T07:55:00,Southwest Airlines,4812,D8,4
A,2017-10-01T07:55:00,American Airlines,5995,A1,4
D,2017-10-01T07:55:00,American Airlines,5961,B9,4
A,2017-10-01T07:56:00,American Airlines,567,A13,4
A,2017-10-01T07:56:00,American Airlines,3024,B15A,4
A,2017-10-01T07:57:00,American Airlines,499,A2,4
A,2017-10-01T07:57:00,American Airlines,5896,B19,4
A,2017-10-01T07:59:00,American Airlines,3071,B1,4
D,2017-10-01T08:00:00,Southwest Airlines,4584,C14,4
D,2017-10-01T08:00:00,Alaska Airlines,637,11,2
A,2017-10-01T08:01:00,American Airlines,3132,B15B,4
A,2017-10-01T08:03:00,American Airlines,593,B27,4
A,2017-10-01T08:03:00,American Airlines,3165,B1A,4
A,2017-10-01T08:04:00,American Airlines,1931,A14,4
D,2017-10-01T08:05:00,Southwest Airlines,1347,D6,4
A,2017-10-01T08:09:00,American Airlines,5909,B9,4
D,2017-10-01T08:10:00,Southwest Airlines,4823,D1,4
A,2017-10-01T08:10:00,Southwest Airlines,5304,C11,4
A,2017-10-01T08:11:00,American Airlines,5810,B17,4
A,2017-10-01T08:20:00,Southwest Airlines,5156,C3,4
D,2017-10-01T08:25:00,Southwest Airlines,5331,D7,4
D,2017-10-01T08:29:00,Frontier Airlines,1276,20,3
D,2017-10-01T08:30:00,Southwest Airlines,5981,C19,4
A,2017-10-01T08:30:00,Southwest Airlines,3348,C16,4
A,2017-10-01T08:30:00,Southwest Airlines,4089,C8,4
A,2017-10-01T08:30:00,Great Lakes Airlines,3031,9,2
D,2017-10-01T08:30:00,American Airlines,595,A20,4
D,2017-10-01T08:34:00,American Airlines,1899,A19,4
D,2017-10-01T08:35:00,Southwest Airlines,3937,C13,4
D,2017-10-01T08:35:00,American Airlines,938,A3,4
D,2017-10-01T08:35:00,American Airlines,2052,A4,4
D,2017-10-01T08:35:00,American Airlines,3251,B16,4
D,2017-10-01T08:35:00,American Airlines,1650,B8,4
D,2017-10-01T08:37:00,American Airlines,463,A27,4
D,2017-10-01T08:39:00,American Airlines,532,A29,4
D,2017-10-01T08:40:00,Southwest Airlines,4812,D8,4
A,2017-10-01T08:40:00,Southwest Airlines,4602,C6,4
A,2017-10-01T08:40:00,Southwest Airlines,5252,D3,4
D,2017-10-01T08:40:00,American Airlines,554,A2,4
D,2017-10-01T08:40:00,American Airlines,619,A8,4
D,2017-10-01T08:40:00,American Airlines,652,B4,4
D,2017-10-01T08:41:00,American Airlines,5906,B26,4
D,2017-10-01T08:42:00,American Airlines,646,A5,4
D,2017-10-01T08:43:00,American Airlines,3068,B1A,4
A,2017-10-01T08:44:00,Frontier Airlines,1863,20,3
D,2017-10-01T08:44:00,American Airlines,1985,A11,4
D,2017-10-01T08:44:00,American Airlines,3071,B15A,4
A,2017-10-01T08:45:00,Southwest Airlines,3540,D1,4
A,2017-10-01T08:45:00,Southwest Airlines,3760,C19,4
D,2017-10-01T08:45:00,American Airlines,1598,B13,4
D,2017-10-01T08:45:00,American Airlines,665,B10,4
D,2017-10-01T08:47:00,American Airlines,3022,B7,4
D,2017-10-01T08:48:00,American Airlines,106,A18,4
D,2017-10-01T08:49:00,American Airlines,3080,B1,4
D,2017-10-01T08:49:00,American Airlines,499,A12,4
D,2017-10-01T08:50:00,Southwest Airlines,4516,C11,4
A,2017-10-01T08:50:00,Southwest Airlines,2486,D7,4
A,2017-10-01T08:50:00,Southwest Airlines,3871,D6,4
D,2017-10-01T08:51:00,American Airlines,593,A13,4
D,2017-10-01T08:52:00,American Airlines,5916,A1,4
A,2017-10-01T08:53:00,American Airlines,553,A12,4
D,2017-10-01T08:53:00,American Airlines,5785,B24,4
D,2017-10-01T08:54:00,American Airlines,467,A6,4
A,2017-10-01T08:55:00,Southwest Airlines,4288,C1,4
A,2017-10-01T08:55:00,Southwest Airlines,4553,C7,4
D,2017-10-01T08:55:00,American Airlines,649,A24,4
D,2017-10-01T08:55:00,American Airlines,1245,B14,4
A,2017-10-01T08:57:00,American Airlines,447,A5,4
D,2017-10-01T08:58:00,American Airlines,578,B6,4
D,2017-10-01T08:58:00,American Airlines,2094,A14,4
A,2017-10-01T08:59:00,American Airlines,1572,A19,4
A,2017-10-01T08:59:00,American Airlines,1456,A20,4
D,2017-10-01T08:59:00,American Airlines,460,B12,4
D,2017-10-01T08:59:00,American Airlines,5770,B17,4
D,2017-10-01T08:59:00,American Airlines,5803,B9,4
D,2017-10-01T08:59:00,American Airlines,5892,B18,4
D,2017-10-01T09:00:00,United Airlines,604,8,2
D,2017-10-01T09:00:00,Southwest Airlines,5156,C3,4
A,2017-10-01T09:00:00,Southwest Airlines,3643,C14,4
A,2017-10-01T09:00:00,Southwest Airlines,4469,D5,4
A,2017-10-01T09:00:00,Southwest Airlines,5131,C6,4
A,2017-10-01T09:00:00,Southwest Airlines,5709,C17,4
A,2017-10-01T09:00:00,American Airlines,531,B10,4
D,2017-10-01T09:00:00,American Airlines,567,A21,4
D,2017-10-01T09:00:00,Delta Air Lines,160,19,3
A,2017-10-01T09:01:00,American Airlines,625,B4,4
D,2017-10-01T09:01:00,American Airlines,925,B11,4
A,2017-10-01T09:04:00,American Airlines,588,A2,4
D,2017-10-01T09:05:00,Southwest Airlines,4089,C8,4
A,2017-10-01T09:06:00,American Airlines,433,A27,4
A,2017-10-01T09:06:00,American Airlines,582,A4,4
A,2017-10-01T09:07:00,American Airlines,807,A24,4
A,2017-10-01T09:07:00,American Airlines,493,B8,4
A,2017-10-01T09:08:00,American Airlines,601,A17,4
A,2017-10-01T09:09:00,American Airlines,568,A11,4
D,2017-10-01T09:10:00,Southwest Airlines,3348,C16,4
A,2017-10-01T09:11:00,American Airlines,1657,A8,4
A,2017-10-01T09:11:00,American Airlines,3075,B16,4
A,2017-10-01T09:14:00,American Airlines,506,A4,4
A,2017-10-01T09:15:00,Southwest Airlines,3949,D8,4
A,2017-10-01T09:15:00,Southwest Airlines,4678,C13,4
A,2017-10-01T09:15:00,American Airlines,1468,B14,4
A,2017-10-01T09:15:00,American Airlines,5765,B17,4
A,2017-10-01T09:16:00,American Airlines,586,B6,4
A,2017-10-01T09:16:00,American Airlines,319,A25,4
A,2017-10-01T09:17:00,American Airlines,1503,A18,4
A,2017-10-01T09:17:00,American Airlines,2378,A9,4
A,2017-10-01T09:19:00,Delta Air Lines,5733,15,3
A,2017-10-01T09:20:00,Southwest Airlines,3485,C11,4
A,2017-10-01T09:20:00,American Airlines,1646,A3,4
A,2017-10-01T09:20:00,American Airlines,5920,A1,4
A,2017-10-01T09:20:00,Delta Air Lines,817,16,3
A,2017-10-01T09:21:00,American Airlines,1431,B11,4
A,2017-10-01T09:21:00,American Airlines,5893,B7,4
A,2017-10-01T09:21:00,United Airlines,581,6B,2
A,2017-10-01T09:24:00,American Airlines,5884,B18,4
A,2017-10-01T09:25:00,American Airlines,5937,B9,4
A,2017-10-01T09:27:00,American Airlines,448,A13,4
A,2017-10-01T09:30:00,Southwest Airlines,4562,C8,4
A,2017-10-01T09:34:00,United Airlines,667,3,2
A,2017-10-01T09:34:00,Delta Air Lines,1546,18,3
A,2017-10-01T09:35:00,Southwest Airlines,5228,C16,4
