arrive_or_depart,schedule,airline,flight_number,gate,terminal
A,2018-02-01T00:05:00,Southwest Airlines,1669,C3,4
A,2018-02-01T00:12:00,American Airlines,3086,B9,4
A,2018-02-01T00:15:00,Frontier Airlines,753,26,3
A,2018-02-01T00:25:00,Southwest Airlines,5812,C1,4
D,2018-02-01T00:30:00,American Airlines,2026,A7,4
D,2018-02-01T00:35:00,American Airlines,2020,A5,4
D,2018-02-01T00:40:00,United Airlines,1453,8,2
D,2018-02-01T00:45:00,Delta Air Lines,2160,17,3
A,2018-02-01T00:47:00,American Airlines,654,A7,4
A,2018-02-01T00:51:00,Alaska Airlines,632,11,2
D,2018-02-01T00:55:00,American Airlines,1512,A9,4
A,2018-02-01T01:04:00,Spirit Airlines,971,2,2
A,2018-02-01T01:05:00,American Airlines,609,A5,4
A,2018-02-01T00:26:00,United Airlines,716,,2
D,2018-02-01T01:10:00,American Airlines,408,A3,4
D,2018-02-01T01:45:00,American Airlines,1383,A13,4
D,2018-02-01T01:59:00,Spirit Airlines,972,2,2
D,2018-02-01T05:00:00,American Airlines,605,A20,4
D,2018-02-01T05:17:00,United Airlines,859,6B,2
D,2018-02-01T05:30:00,Southwest Airlines,724,C18,4
D,2018-02-01T06:00:00,American Airlines,632,A19,4
D,2018-02-01T06:00:00,Delta Air Lines,1747,23,3
D,2018-02-01T06:00:00,Southwest Airlines,1300,C16,4
D,2018-02-01T06:00:00,Southwest Airlines,1675,C13,4
D,2018-02-01T06:10:00,American Airlines,691,A5,4
D,2018-02-01T06:10:00,Southwest Airlines,1164,C7,4
D,2018-02-01T06:15:00,Frontier Airlines,573,26,3
D,2018-02-01T06:20:00,American Airlines,1061,B7,4
D,2018-02-01T06:20:00,United Airlines,1183,7,2
D,2018-02-01T06:25:00,Southwest Airlines,1402,D8,4
D,2018-02-01T06:30:00,Delta Air Lines,1781,17,3
D,2018-02-01T06:30:00,United Airlines,781,3,2
D,2018-02-01T06:30:00,Southwest Airlines,193,D4,4
D,2018-02-01T06:30:00,Southwest Airlines,539,D5,4
D,2018-02-01T06:40:00,American Airlines,2996,B9,4
D,2018-02-01T06:40:00,Southwest Airlines,1797,C1,4
