arrive_or_depart,schedule,airline,flight_number,gate,terminal
D,2018-08-01T08:55:00,American Airlines,515,A20,4
D,2018-08-01T08:55:00,American Airlines,5878,B21,4
A,2018-08-01T08:55:00,Southwest Airlines,889,C11,4
A,2018-08-01T08:57:00,American Airlines,1672,B12,4
D,2018-08-01T08:58:00,American Airlines,516,A9,4
A,2018-08-01T08:58:00,American Airlines,1983,A21,4
A,2018-08-01T08:58:00,American Airlines,1633,B7,4
D,2018-08-02T06:00:00,Delta Air Lines,824,16,3
D,2018-08-02T06:00:00,Delta Air Lines,2466,23,3
D,2018-08-02T06:00:00,Delta Air Lines,5779,15,3
D,2018-08-02T06:00:00,United Airlines,2350,7,2
A,2018-08-02T06:00:00,American Airlines,1945,A24,4
A,2018-08-02T06:00:00,Southwest Airlines,1202,C16,4
D,2018-08-02T06:03:00,United Airlines,1774,3,2
D,2018-08-02T06:05:00,Southwest Airlines,1562,D8,4
A,2018-08-02T06:05:00,Southwest Airlines,839,D5,4
A,2018-08-02T06:05:00,Southwest Airlines,34,D2,4
A,2018-08-02T06:10:00,Southwest Airlines,1210,C11,4
D,2018-08-02T06:15:00,Delta Air Lines,1994,18,3
D,2018-08-02T06:15:00,Frontier Airlines,1608,25,3
A,2018-08-02T06:15:00,Southwest Airlines,2356,C13,4
D,2018-08-02T06:25:00,United Airlines,1600,6B,2
A,2018-08-02T06:25:00,Southwest Airlines,825,C1,4
D,2018-08-02T06:30:00,Southwest Airlines,1557,C6,4
D,2018-08-02T06:30:00,American Airlines,567,A23,4
D,2018-08-02T06:30:00,United Airlines,1131,5,2
A,2018-08-02T06:32:00,American Airlines,1765,A3,4
D,2018-08-02T06:35:00,Southwest Airlines,1538,C17,4
A,2018-08-02T06:35:00,Southwest Airlines,2520,C3,4
A,2018-08-02T06:35:00,Southwest Airlines,2391,D7,4
A,2018-08-02T06:37:00,American Airlines,2089,A18,4
D,2018-08-02T06:40:00,Southwest Airlines,34,D2,4
A,2018-08-02T06:40:00,American Airlines,5757,B15A,4
A,2018-08-02T06:40:00,Southwest Airlines,252,C18,4
A,2018-08-02T06:40:00,Southwest Airlines,6755,D8,4
A,2018-08-02T06:40:00,Southwest Airlines,1833,C4,4
