arrive_or_depart,schedule,airline,flight_number,gate,terminal
A,2018-09-01T00:04:00,United Airlines,5634,5,2
D,2018-09-01T00:09:00,American Airlines,2054,A5,4
D,2018-09-01T00:35:00,American Airlines,447,A13,4
D,2018-09-01T00:51:00,Spirit Airlines,972,2,2
D,2018-09-01T01:10:00,American Airlines,599,A3,4
D,2018-09-01T05:00:00,American Airlines,507,A11,4
A,2018-09-01T05:12:00,American Airlines,673,DX,4
D,2018-09-01T05:15:00,American Airlines,2765,A25,4
D,2018-09-01T05:20:00,American Airlines,1153,A3,4
D,2018-09-01T06:00:00,American Airlines,3196,B5,4
D,2018-09-01T06:00:00,Alaska Airlines,637,10,2
D,2018-09-01T06:00:00,Delta Air Lines,2160,19,3
D,2018-09-01T06:00:00,Delta Air Lines,5843,15,3
D,2018-09-01T06:00:00,United Airlines,1774,6A,2
D,2018-09-01T06:00:00,Delta Air Lines,5710,DX,3
A,2018-09-01T06:03:00,American Airlines,1945,A20,4
D,2018-09-01T06:05:00,United Airlines,5326,5,2
D,2018-09-01T06:10:00,United Airlines,2350,3,2
D,2018-09-01T06:15:00,United Airlines,1600,6B,2
D,2018-09-01T06:20:00,United Airlines,1131,7,2
D,2018-09-01T06:25:00,Southwest Airlines,5937,C11,4
D,2018-09-01T06:30:00,American Airlines,567,A5,4
A,2018-09-01T06:33:00,American Airlines,1765,A3,4
D,2018-09-01T06:35:00,Frontier Airlines,1876,20,3
A,2018-09-01T06:37:00,American Airlines,5898,B20,4
A,2018-09-01T06:40:00,American Airlines,2089,A10,4
A,2018-09-01T06:42:00,American Airlines,2026,A17,4
A,2018-09-01T06:44:00,American Airlines,5757,B15C,4
D,2018-09-01T06:45:00,American Airlines,407,A6,4
D,2018-09-01T06:45:00,Delta Air Lines,1668,18,3
A,2018-09-01T06:46:00,American Airlines,2005,A19,4
A,2018-09-01T06:47:00,American Airlines,2967,A1,4
A,2018-09-01T06:48:00,American Airlines,2053,A11,4
A,2018-09-01T06:49:00,American Airlines,5865,B18,4
D,2018-09-01T06:50:00,Southwest Airlines,1087,C16,4
D,2018-09-01T06:50:00,Southwest Airlines,2958,C18,4
D,2018-09-01T06:50:00,American Airlines,646,A13,4
A,2018-09-01T06:50:00,American Airlines,1861,A4,4
A,2018-09-01T06:59:00,American Airlines,693,A24,4
D,2018-09-01T07:00:00,Southwest Airlines,4357,C7,4
D,2018-09-01T07:00:00,Southwest Airlines,5929,C6,4
D,2018-09-01T07:00:00,American Airlines,601,A7,4
D,2018-09-01T07:00:00,Delta Air Lines,975,17,3
D,2018-09-01T07:00:00,Delta Air Lines,1994,16,3
A,2018-09-01T07:02:00,American Airlines,697,B23,4
D,2018-09-01T07:10:00,Southwest Airlines,2720,C17,4
D,2018-09-01T07:10:00,Southwest Airlines,2861,D8,4
A,2018-09-01T07:10:00,Southwest Airlines,3681,D3,4
D,2018-09-01T07:15:00,Southwest Airlines,5966,C2,4
D,2018-09-01T07:15:00,Delta Air Lines,5758,19,3
A,2018-09-01T07:15:00,American Airlines,645,DX,4
D,2018-09-01T07:15:00,Delta Air Lines,5810,DX,3
A,2018-09-01T07:17:00,American Airlines,1688,A22,4
D,2018-09-01T07:20:00,American Airlines,445,A19,4
D,2018-09-01T07:20:00,American Airlines,2105,B7,4
D,2018-09-01T07:20:00,American Airlines,5743,B16,4
D,2018-09-01T07:20:00,American Airlines,5796,B17,4
D,2018-09-01T07:20:00,American Airlines,5852,B20,4
D,2018-09-01T07:20:00,Delta Air Lines,2750,23,3
D,2018-09-01T07:30:00,Hawaiian Airlines,35,24,3
A,2018-09-01T07:30:00,Southwest Airlines,5134,D4,4
D,2018-09-01T07:30:00,Delta Air Lines,5691,15,3
D,2018-09-01T07:30:00,Delta Air Lines,5716,DX,3
A,2018-09-01T07:31:00,American Airlines,664,B14,4
A,2018-09-01T07:31:00,American Airlines,2083,B13,4
D,2018-09-01T07:35:00,American Airlines,438,A20,4
D,2018-09-01T07:35:00,American Airlines,1765,A3,4
D,2018-09-01T07:35:00,American Airlines,5802,B18,4
D,2018-09-01T07:37:00,American Airlines,452,A10,4
A,2018-09-01T07:39:00,American Airlines,1065,A20,4
D,2018-09-01T07:40:00,American Airlines,1075,B11,4
D,2018-09-01T07:40:00,American Airlines,1880,A18,4
D,2018-09-01T07:40:00,United Airlines,656,6A,2
D,2018-09-01T07:42:00,American Airlines,3142,A1,4
A,2018-09-01T07:42:00,American Airlines,854,A19,4
A,2018-09-01T07:42:00,American Airlines,5816,B1,4
A,2018-09-01T07:43:00,American Airlines,1808,A2,4
A,2018-09-01T07:43:00,American Airlines,2658,B9,4
A,2018-09-01T07:44:00,American Airlines,1738,A6,4
D,2018-09-01T07:45:00,Southwest Airlines,3854,C3,4
D,2018-09-01T07:45:00,Southwest Airlines,5896,D5,4
A,2018-09-01T07:45:00,Southwest Airlines,6278,C18,4
D,2018-09-01T07:45:00,Delta Air Lines,824,DX,3
A,2018-09-01T07:46:00,American Airlines,5777,B20,4
D,2018-09-01T07:47:00,American Airlines,486,A17,4
A,2018-09-01T07:47:00,American Airlines,625,A13,4
A,2018-09-01T07:49:00,American Airlines,5721,B17,4
A,2018-09-01T07:50:00,Southwest Airlines,2909,D1,4
A,2018-09-01T07:50:00,Southwest Airlines,3251,C7,4
A,2018-09-01T07:50:00,Southwest Airlines,5365,D3,4
A,2018-09-01T07:50:00,American Airlines,675,B28,4
A,2018-09-01T07:51:00,American Airlines,5994,B19,4
A,2018-09-01T07:51:00,American Airlines,459,A5,4
A,2018-09-01T07:52:00,American Airlines,3251,B2,4
D,2018-09-01T07:55:00,Southwest Airlines,5881,D3,4
A,2018-09-01T07:55:00,Southwest Airlines,4752,C11,4
A,2018-09-01T07:55:00,Southwest Airlines,5171,C16,4
A,2018-09-01T07:55:00,American Airlines,2974,B1A,4
A,2018-09-01T07:56:00,American Airlines,1867,A3,4
A,2018-09-01T07:57:00,American Airlines,2042,A18,4
A,2018-09-01T07:57:00,American Airlines,5813,B5,4
A,2018-09-01T07:58:00,American Airlines,3103,A1,4
A,2018-09-01T07:59:00,American Airlines,516,B7,4
A,2018-09-01T07:59:00,American Airlines,3132,B15B,4
A,2018-09-01T07:59:00,American Airlines,5896,DX,4
D,2018-09-01T08:00:00,Southwest Airlines,910,D1,4
A,2018-09-01T08:00:00,Southwest Airlines,3494,C2,4
A,2018-09-01T08:00:00,Southwest Airlines,3758,D6,4
A,2018-09-01T08:00:00,Southwest Airlines,4483,C19,4
A,2018-09-01T08:00:00,Southwest Airlines,5211,C6,4
A,2018-09-01T08:01:00,United Airlines,365,6B,2
A,2018-09-01T08:05:00,Southwest Airlines,2668,C3,4
A,2018-09-01T08:05:00,Southwest Airlines,5076,D5,4
A,2018-09-01T08:05:00,Southwest Airlines,5287,D8,4
A,2018-09-01T08:05:00,Southwest Airlines,6002,C4,4
D,2018-09-01T17:00:00,American Airlines,699,A19,4
D,2018-09-01T17:00:00,American Airlines,1737,A4,4
D,2018-09-01T17:00:00,American Airlines,2952,B20,4
D,2018-09-01T17:02:00,Delta Air Lines,5707,15,3
A,2018-09-01T17:05:00,Southwest Airlines,4633,C6,4
A,2018-09-01T17:05:00,Southwest Airlines,4809,C7,4
A,2018-09-01T17:05:00,Southwest Airlines,5628,D3,4
A,2018-09-01T17:05:00,Southwest Airlines,6730,C11,4
D,2018-09-01T17:05:00,American Airlines,5794,B2,4
D,2018-09-01T17:10:00,American Airlines,480,A26,4
D,2018-09-01T17:10:00,American Airlines,5750,B18,4
D,2018-09-01T17:10:00,Delta Air Lines,5800,16,3
