arrive_or_depart,schedule,airline,flight_number,gate,terminal
A,2017-11-01T00:10:00,Alaska Airlines,632,10,2
D,2017-11-01T00:50:00,Spirit Airlines,972,2,2
D,2017-11-01T01:15:00,American Airlines,605,A3,4
D,2017-11-01T05:00:00,United Airlines,859,6B,2
D,2017-11-01T05:00:00,United Airlines,1407,8,2
D,2017-11-01T05:05:00,American Airlines,400,A19,4
D,2017-11-01T05:18:00,United Airlines,781,7,2
D,2017-11-01T05:20:00,American Airlines,656,A3,4
D,2017-11-01T05:20:00,American Airlines,1061,B11,4
D,2017-11-01T05:30:00,Southwest Airlines,1405,C9,4
D,2017-11-01T05:40:00,Southwest Airlines,713,C11,4
D,2017-11-01T05:40:00,American Airlines,3251,B3,4
D,2017-11-01T05:40:00,Southwest Airlines,1378,D5,4
D,2017-11-01T05:45:00,Southwest Airlines,612,C14,4
D,2017-11-01T05:47:00,United Airlines,1545,3,2
D,2017-11-01T06:00:00,Frontier Airlines,1880,25,3
D,2017-11-01T06:00:00,Southwest Airlines,1582,D8,4
D,2017-11-01T06:05:00,Southwest Airlines,827,D7,4
D,2017-11-01T06:10:00,Delta Air Lines,5725,15,3
D,2017-11-01T06:10:00,Southwest Airlines,1273,C17,4
D,2017-11-01T06:15:00,Southwest Airlines,1002,C16,4
D,2017-11-01T06:15:00,Alaska Airlines,631,10,2
D,2017-11-01T06:15:00,Delta Air Lines,2286,17,3
D,2017-11-01T06:20:00,Delta Air Lines,824,16,3
A,2017-11-01T06:20:00,Southwest Airlines,1351,C14,4
D,2017-11-01T06:21:00,United Airlines,2083,8,2
D,2017-11-01T06:25:00,Southwest Airlines,1729,C8,4
A,2017-11-01T06:25:00,Southwest Airlines,768,D4,4
D,2017-11-01T06:30:00,United Airlines,1600,5,2
D,2017-11-01T06:30:00,American Airlines,581,A5,4
A,2017-11-01T06:30:00,Southwest Airlines,1274,C1,4
A,2017-11-01T06:30:00,Southwest Airlines,1114,C13,4
D,2017-11-01T06:35:00,Southwest Airlines,1670,C2,4
A,2017-11-01T06:35:00,American Airlines,1709,A3,4
D,2017-11-01T06:40:00,United Airlines,1191,6B,2
A,2017-11-01T06:40:00,Southwest Airlines,1525,C8,4
A,2017-11-01T06:43:00,American Airlines,5785,B20,4
A,2017-11-01T06:44:00,American Airlines,1110,B11,4
D,2017-11-01T06:50:00,American Airlines,549,A23,4
A,2017-11-01T06:50:00,American Airlines,5836,B18,4
A,2017-11-01T06:50:00,American Airlines,5837,A1,4
A,2017-11-01T06:50:00,Southwest Airlines,1019,D8,4
A,2017-11-01T06:50:00,Southwest Airlines,875,D7,4
A,2017-11-01T06:55:00,Southwest Airlines,1877,C16,4
D,2017-11-01T07:00:00,WestJet,1499,B23,4
D,2017-11-01T07:00:00,Southwest Airlines,763,D2,4
D,2017-11-01T07:00:00,American Airlines,1969,A30,4
D,2017-11-01T07:00:00,Delta Air Lines,1668,19,3
D,2017-11-01T07:00:00,Delta Air Lines,2862,18,3
D,2017-11-01T07:00:00,Southwest Airlines,4466,C7,4
D,2017-11-01T07:00:00,Southwest Airlines,4922,C14,4
A,2017-11-01T07:00:00,American Airlines,645,B25,4
A,2017-11-01T07:00:00,Southwest Airlines,1382,C2,4
A,2017-11-01T07:05:00,Southwest Airlines,324,D5,4
A,2017-11-01T07:05:00,Southwest Airlines,1308,C17,4
A,2017-11-01T07:05:00,Southwest Airlines,1840,D6,4
D,2017-11-01T07:09:00,United Airlines,656,6A,2
A,2017-11-01T07:10:00,American Airlines,693,A30,4
A,2017-11-01T07:10:00,American Airlines,697,B28,4
A,2017-11-01T07:10:00,Southwest Airlines,1473,C7,4
A,2017-11-01T07:10:00,Southwest Airlines,1495,C14,4
D,2017-11-01T07:15:00,Delta Air Lines,5809,15,3
D,2017-11-01T07:15:00,Southwest Airlines,1569,C1,4
A,2017-11-01T07:15:00,Southwest Airlines,142,C11,4
A,2017-11-01T07:15:00,Southwest Airlines,1347,C9,4
A,2017-11-01T07:18:00,Frontier Airlines,1869,20,3
D,2017-11-01T07:20:00,Southwest Airlines,1114,C13,4
D,2017-11-01T07:20:00,American Airlines,465,A26,4
D,2017-11-01T07:20:00,American Airlines,491,A8,4
D,2017-11-01T07:20:00,Southwest Airlines,1751,C18,4
