arrive_or_depart,schedule,airline,flight_number,gate,terminal
D,2018-01-01T08:50:00,American Airlines,412,B14,4
A,2018-01-01T08:51:00,American Airlines,761,A5,4
A,2018-01-01T08:51:00,American Airlines,106,A18,4
A,2018-01-01T08:52:00,American Airlines,578,B6,4
A,2018-01-01T08:53:00,American Airlines,5760,B19,4
D,2018-01-01T08:55:00,American Airlines,5957,B16,4
D,2018-01-01T08:55:00,Southwest Airlines,1361,C3,4
A,2018-01-01T08:55:00,American Airlines,1835,B24,4
A,2018-01-01T08:56:00,American Airlines,5763,B1,4
A,2018-01-01T08:58:00,American Airlines,3068,B9,4
A,2018-01-01T08:58:00,American Airlines,3071,B5,4
A,2018-01-02T00:50:00,Southwest Airlines,5048,,4
A,2018-01-02T00:55:00,Southwest Airlines,1502,,4
A,2018-01-02T00:55:00,Southwest Airlines,6098,,4
D,2018-01-02T01:10:00,Delta Air Lines,1744,19,3
A,2018-01-02T01:15:00,Southwest Airlines,1563,C9,4
A,2018-01-02T01:25:00,Southwest Airlines,5828,,4
D,2018-01-02T01:35:00,Delta Air Lines,647,16,3
A,2018-01-02T01:40:00,Southwest Airlines,5285,,4
D,2018-01-02T01:45:00,American Airlines,1556,A12,4
A,2018-01-02T01:45:00,Southwest Airlines,1925,,4
D,2018-01-02T01:57:00,Spirit Airlines,972,2,2
D,2018-01-02T02:20:00,American Airlines,655,A13,4
A,2018-01-02T03:25:00,American Airlines,9207,A22,4
D,2018-01-02T05:00:00,American Airlines,605,A13,4
D,2018-01-02T05:00:00,Southwest Airlines,6755,C3,4
D,2018-01-02T05:05:00,Southwest Airlines,3190,C18,4
D,2018-01-02T05:15:00,United Airlines,859,6A,2
D,2018-01-02T05:25:00,United Airlines,265,7,2
D,2018-01-02T05:40:00,Southwest Airlines,3217,D5,4
D,2018-01-02T06:00:00,American Airlines,632,A5,4
D,2018-01-02T06:00:00,Alaska Airlines,959,10,2
D,2018-01-02T06:00:00,Southwest Airlines,877,D3,4
D,2018-01-02T06:00:00,Southwest Airlines,6159,C16,4
D,2018-01-02T06:00:00,Southwest Airlines,6206,C2,4
D,2018-01-02T06:00:00,Southwest Airlines,6215,D4,4
D,2018-01-02T06:00:00,Southwest Airlines,6663,D1,4
A,2018-01-02T06:04:00,American Airlines,673,A24,4
D,2018-01-02T06:05:00,United Airlines,582,8,2
D,2018-01-02T06:05:00,Southwest Airlines,1748,C9,4
D,2018-01-02T06:10:00,American Airlines,691,A20,4
D,2018-01-02T06:10:00,Southwest Airlines,6970,D6,4
D,2018-01-02T06:11:00,United Airlines,1774,3,2
D,2018-01-02T06:13:00,United Airlines,1600,6A,2
D,2018-01-02T06:20:00,American Airlines,1061,A9,4
D,2018-01-02T06:20:00,Frontier Airlines,740,20,3
D,2018-01-02T06:25:00,Delta Air Lines,2162,16,3
D,2018-01-02T04:45:00,Southwest Airlines,8610,D6,4
D,2018-01-02T06:15:00,Southwest Airlines,8618,C4,4
D,2018-01-02T06:35:00,United Airlines,781,5,2
D,2018-01-02T06:40:00,American Airlines,2996,B3,4
D,2018-01-02T06:40:00,Southwest Airlines,6756,C8,4
A,2018-01-02T06:40:00,Southwest Airlines,5437,D6,4
