arrive_or_depart,schedule,airline,flight_number,gate,terminal
A,2017-12-01T00:05:00,Southwest Airlines,891,C2,4
A,2017-12-01T00:05:00,American Airlines,889,A3,4
D,2017-12-01T00:15:00,American Airlines,2020,B25,4
D,2017-12-01T00:30:00,Delta Air Lines,2160,18,3
A,2017-12-01T00:37:00,Alaska Airlines,632,10,2
A,2017-12-01T00:39:00,American Airlines,609,A27,4
A,2017-12-01T00:40:00,Southwest Airlines,523,C1,4
D,2017-12-01T00:40:00,United Airlines,1130,5,2
D,2017-12-01T00:55:00,American Airlines,1512,A9,4
D,2017-12-01T00:59:00,American Airlines,408,A5,4
A,2017-12-01T00:59:00,United Airlines,377,5,2
A,2017-12-01T01:05:00,Spirit Airlines,971,2,2
D,2017-12-01T00:42:00,United Airlines,1079,,2
A,2017-12-01T00:59:00,United Airlines,5706,,2
A,2017-12-01T01:15:00,Southwest Airlines,1563,C9,4
D,2017-12-01T01:45:00,American Airlines,617,A3,4
D,2017-12-01T01:56:00,Spirit Airlines,972,2,2
D,2017-12-01T05:00:00,American Airlines,605,A29,4
D,2017-12-01T05:15:00,Southwest Airlines,9,C13,4
D,2017-12-01T05:15:00,Southwest Airlines,518,C4,4
D,2017-12-01T05:25:00,United Airlines,859,6B,2
D,2017-12-01T05:25:00,Southwest Airlines,1711,D6,4
D,2017-12-01T05:50:00,Southwest Airlines,121,C19,4
D,2017-12-01T05:55:00,Southwest Airlines,1080,C3,4
D,2017-12-01T06:00:00,American Airlines,632,A7,4
D,2017-12-01T06:00:00,United Airlines,1407,8,2
D,2017-12-01T06:00:00,Southwest Airlines,403,C6,4
D,2017-12-01T06:00:00,Southwest Airlines,1540,D5,4
D,2017-12-01T06:00:00,Southwest Airlines,1898,D2,4
D,2017-12-01T06:05:00,United Airlines,781,7,2
D,2017-12-01T06:10:00,American Airlines,691,A11,4
D,2017-12-01T06:15:00,Southwest Airlines,210,D7,4
D,2017-12-01T06:20:00,American Airlines,1061,A14,4
D,2017-12-01T06:20:00,Southwest Airlines,1390,C8,4
D,2017-12-01T06:20:00,Southwest Airlines,1922,C14,4
