arrive_or_depart,schedule,airline,flight_number,gate,terminal
A,2018-11-01T11:22:00,American Airlines,711,A7,4
A,2018-11-01T11:22:00,American Airlines,5873,B5,4
A,2018-11-01T11:23:00,American Airlines,829,A4,4
A,2018-11-01T11:24:00,American Airlines,2519,A3,4
D,2018-11-01T11:25:00,Southwest Airlines,348,C16,4
D,2018-11-01T11:25:00,Southwest Airlines,6955,D1,4
A,2018-11-01T11:25:00,WestJet,1198,B25,4
A,2018-11-01T11:25:00,Southwest Airlines,1582,C11,4
A,2018-11-01T11:26:00,American Airlines,2978,B19,4
A,2018-11-01T11:27:00,United Airlines,581,6B,2
A,2018-11-01T11:28:00,American Airlines,1465,B4,4
A,2018-11-01T11:29:00,American Airlines,2994,B22,4
A,2018-11-01T11:30:00,Southwest Airlines,2446,C19,4
A,2018-11-01T11:32:00,American Airlines,445,A2,4
A,2018-11-01T11:34:00,American Airlines,5802,A1,4
D,2018-11-01T11:35:00,Southwest Airlines,2487,C9,4
A,2018-11-01T11:35:00,Southwest Airlines,205,D3,4
A,2018-11-01T11:35:00,American Airlines,5743,B18,4
A,2018-11-01T11:35:00,Southwest Airlines,2495,C7,4
A,2018-11-01T11:35:00,Southwest Airlines,2502,D4,4
A,2018-11-01T11:35:00,Southwest Airlines,1441,C2,4
A,2018-11-01T11:36:00,American Airlines,2045,A18,4
D,2018-11-01T11:40:00,Delta Air Lines,1874,23,3
A,2018-11-01T11:42:00,American Airlines,2105,A5,4
A,2018-11-01T11:42:00,American Airlines,5796,B21,4
A,2018-11-01T11:43:00,Delta Air Lines,2764,16,3
D,2018-11-01T11:45:00,Southwest Airlines,551,C13,4
A,2018-11-01T11:46:00,Alaska Airlines,644,10,2
D,2018-11-01T11:50:00,Southwest Airlines,518,C19,4
D,2018-11-01T11:50:00,Southwest Airlines,913,C6,4
D,2018-11-01T11:50:00,Southwest Airlines,1659,C17,4
A,2018-11-01T11:50:00,Southwest Airlines,2333,C1,4
D,2018-11-01T11:55:00,Southwest Airlines,1458,C18,4
D,2018-11-01T12:00:00,Southwest Airlines,1003,C3,4
A,2018-11-01T12:01:00,United Airlines,725,7,2
A,2018-11-01T12:02:00,WestJet,1402,B27,4
D,2018-11-01T12:05:00,Southwest Airlines,1582,C11,4
A,2018-11-01T12:05:00,Southwest Airlines,2658,D8,4
A,2018-11-01T12:08:00,United Airlines,1766,3,2
A,2018-11-01T12:10:00,Southwest Airlines,2123,C16,4
D,2018-11-01T12:12:00,American Airlines,5834,B5,4
D,2018-11-01T12:12:00,American Airlines,6003,B16,4
A,2018-11-01T12:13:00,WestJet,1770,B28,4
D,2018-11-01T12:14:00,American Airlines,1777,A4,4
D,2018-11-01T12:15:00,Southwest Airlines,1441,C2,4
D,2018-11-01T12:15:00,Southwest Airlines,2342,C19,4
D,2018-11-01T12:15:00,American Airlines,727,A21,4
D,2018-11-01T12:15:00,American Airlines,2983,B22,4
D,2018-11-01T12:15:00,American Airlines,5902,B2,4
D,2018-11-01T12:15:00,Southwest Airlines,2380,D4,4
D,2018-11-01T12:15:00,Southwest Airlines,2449,C7,4
D,2018-11-01T12:17:00,American Airlines,3137,B19,4
D,2018-11-01T12:18:00,United Airlines,1826,6B,2
D,2018-11-01T12:19:00,American Airlines,460,A20,4
D,2018-11-01T12:20:00,American Airlines,1780,A12,4
D,2018-11-01T12:20:00,WestJet,1199,B25,4
A,2018-11-01T12:20:00,American Airlines,2371,A14,4
D,2018-11-01T12:22:00,American Airlines,1200,A9,4
D,2018-11-01T12:23:00,American Airlines,2027,A2,4
D,2018-11-01T12:25:00,Southwest Airlines,893,D3,4
D,2018-11-01T12:25:00,Air Canada,1836,B23,4
D,2018-11-01T12:25:00,American Airlines,2519,A3,4
D,2018-11-01T12:26:00,American Airlines,1743,A13,4
D,2018-11-01T12:26:00,American Airlines,5945,A1,4
D,2018-11-01T12:27:00,American Airlines,570,A7,4
D,2018-11-01T12:30:00,Southwest Airlines,2333,C1,4
D,2018-11-01T12:30:00,American Airlines,1380,A19,4
D,2018-11-01T12:30:00,American Airlines,5754,B18,4
A,2018-11-01T12:30:00,Alaska Airlines,656,11,2
D,2018-11-01T12:31:00,American Airlines,2320,B4,4
A,2018-11-01T12:32:00,American Airlines,2229,A25,4
D,2018-11-01T12:33:00,American Airlines,616,A18,4
A,2018-11-01T12:33:00,American Airlines,1970,A3,4
D,2018-11-01T12:35:00,American Airlines,2434,B6,4
D,2018-11-01T12:35:00,American Airlines,5730,B21,4
A,2018-11-01T12:35:00,Southwest Airlines,1688,D7,4
A,2018-11-01T12:35:00,Southwest Airlines,2235,C17,4
A,2018-11-01T12:36:00,American Airlines,5878,B19,4
A,2018-11-01T12:36:00,Delta Air Lines,5726,17,3
D,2018-11-01T12:38:00,Delta Air Lines,136,16,3
A,2018-11-01T12:38:00,American Airlines,5914,B16,4
A,2018-11-01T12:39:00,American Airlines,643,A20,4
D,2018-11-01T12:40:00,American Airlines,747,A5,4
A,2018-11-01T12:40:00,American Airlines,476,A9,4
A,2018-11-01T12:40:00,Southwest Airlines,2049,C2,4
A,2018-11-01T12:42:00,American Airlines,636,A6,4
A,2018-11-01T12:44:00,United Airlines,739,8,2
D,2018-11-01T12:45:00,Alaska Airlines,659,10,2
D,2018-11-01T12:45:00,Southwest Airlines,2658,D8,4
A,2018-11-01T12:45:00,American Airlines,3041,B2,4
A,2018-11-01T12:45:00,American Airlines,1218,B4,4
A,2018-11-01T12:47:00,United Airlines,1859,6B,2
A,2018-11-01T12:47:00,Delta Air Lines,1772,23,3
A,2018-11-01T12:48:00,American Airlines,407,A7,4
D,2018-11-01T12:50:00,Southwest Airlines,2123,C16,4
D,2018-11-01T12:50:00,WestJet,1403,B27,4
A,2018-11-01T12:50:00,American Airlines,1702,A26,4
D,2018-11-01T12:55:00,American Airlines,1634,A24,4
A,2018-11-01T12:55:00,American Airlines,3133,B15B,4
