arrive_or_depart,schedule,airline,flight_number,gate,terminal
D,2018-04-01T19:50:00,American Airlines,500,B23,4
D,2018-04-01T19:55:00,Southwest Airlines,2476,C7,4
D,2018-04-01T19:55:00,Southwest Airlines,4113,C13,4
D,2018-04-01T19:55:00,Southwest Airlines,4861,C8,4
D,2018-04-01T19:55:00,Southwest Airlines,5054,D7,4
A,2018-04-01T19:57:00,United Airlines,322,5,2
A,2018-04-01T19:59:00,American Airlines,1835,A27,4
D,2018-04-01T20:00:00,Southwest Airlines,4463,C3,4
D,2018-04-01T20:00:00,Southwest Airlines,4693,D8,4
D,2018-04-01T00:05:00,Sun Country Airlines,610,1,2
A,2018-04-01T00:10:00,Southwest Airlines,2483,C1,4
D,2018-04-01T00:15:00,American Airlines,430,A7,4
D,2018-04-01T00:15:00,Delta Air Lines,2160,19,3
A,2018-04-01T00:18:00,Alaska Airlines,632,10,2
D,2018-04-01T00:30:00,Delta Air Lines,1537,23,3
A,2018-04-01T00:40:00,Southwest Airlines,3059,C8,4
D,2018-04-01T00:45:00,American Airlines,1192,A14,4
D,2018-04-01T00:45:00,American Airlines,5916,B18,4
D,2018-04-01T00:55:00,Spirit Airlines,972,2,2
D,2018-04-01T00:59:00,American Airlines,599,A27,4
A,2018-04-01T00:40:00,Southwest Airlines,3096,,4
A,2018-04-01T00:05:00,Southwest Airlines,4971,,4
A,2018-04-01T00:10:00,Southwest Airlines,4884,,4
A,2018-04-01T00:12:00,United Airlines,5663,,2
D,2018-04-01T05:00:00,American Airlines,632,A3,4
D,2018-04-01T05:10:00,American Airlines,691,A5,4
D,2018-04-01T05:15:00,Frontier Airlines,748,25,3
D,2018-04-01T05:20:00,Southwest Airlines,4131,C6,4
D,2018-04-01T05:20:00,American Airlines,1061,B13,4
D,2018-04-01T05:25:00,Southwest Airlines,2623,D5,4
D,2018-04-01T05:30:00,Alaska Airlines,631,10,2
D,2018-04-01T05:40:00,Southwest Airlines,2168,C2,4
D,2018-04-01T05:40:00,Southwest Airlines,4383,C3,4
D,2018-04-01T05:40:00,American Airlines,2996,B3,4
A,2018-04-01T05:43:00,American Airlines,673,A20,4
D,2018-04-01T05:45:00,Southwest Airlines,3094,C11,4
D,2018-04-01T05:45:00,Southwest Airlines,4276,C17,4
D,2018-04-01T05:55:00,Southwest Airlines,3444,C4,4
A,2018-04-01T05:56:00,American Airlines,645,A26,4
D,2018-04-01T06:00:00,Southwest Airlines,2236,D2,4
D,2018-04-01T06:00:00,Southwest Airlines,4490,C16,4
D,2018-04-01T06:00:00,Delta Air Lines,824,16,3
D,2018-04-01T06:00:00,Delta Air Lines,1747,23,3
D,2018-04-01T06:00:00,United Airlines,2416,6B,2
D,2018-04-01T06:03:00,United Airlines,1774,6A,2
A,2018-04-01T06:04:00,American Airlines,602,B28,4
D,2018-04-01T06:05:00,Southwest Airlines,5080,D6,4
D,2018-04-01T06:06:00,Delta Air Lines,5829,15,3
D,2018-04-01T06:10:00,Alaska Airlines,959,11,2
D,2018-04-01T06:10:00,Delta Air Lines,1994,18,3
D,2018-04-01T06:15:00,Frontier Airlines,1880,20,3
D,2018-04-01T06:24:00,United Airlines,1600,8,2
A,2018-04-01T06:25:00,Southwest Airlines,5115,C9,4
A,2018-04-01T06:26:00,American Airlines,3046,B2,4
A,2018-04-01T06:27:00,American Airlines,693,B25,4
D,2018-04-01T06:30:00,American Airlines,570,A18,4
A,2018-04-01T06:34:00,American Airlines,5940,B3,4
A,2018-04-01T06:35:00,Southwest Airlines,3342,D2,4
D,2018-04-01T06:35:00,United Airlines,2083,7,2
A,2018-04-01T06:36:00,American Airlines,858,A5,4
A,2018-04-01T06:39:00,American Airlines,677,A23,4
A,2018-04-01T06:40:00,Southwest Airlines,2352,C11,4
A,2018-04-01T06:42:00,American Airlines,3056,A1,4
A,2018-04-01T06:44:00,American Airlines,5836,B7,4
D,2018-04-01T06:45:00,American Airlines,549,A27,4
D,2018-04-01T06:45:00,Delta Air Lines,1411,17,3
A,2018-04-01T06:46:00,American Airlines,1730,A2,4
D,2018-04-01T06:50:00,Southwest Airlines,3178,D1,4
A,2018-04-01T06:50:00,Southwest Airlines,2914,C16,4
D,2018-04-01T06:54:00,United Airlines,316,3,2
A,2018-04-01T06:56:00,American Airlines,1945,A22,4
A,2018-04-01T06:59:00,American Airlines,697,A29,4
D,2018-04-01T07:00:00,WestJet,1499,B23,4
D,2018-04-01T07:00:00,Southwest Airlines,2126,D4,4
D,2018-04-01T07:00:00,Southwest Airlines,2296,C19,4
D,2018-04-01T07:00:00,Southwest Airlines,3644,C14,4
D,2018-04-01T07:00:00,Southwest Airlines,3742,C18,4
D,2018-04-01T07:00:00,Southwest Airlines,4477,D8,4
D,2018-04-01T07:10:00,Southwest Airlines,5115,C9,4
A,2018-04-01T07:10:00,Southwest Airlines,4519,D6,4
D,2018-04-01T07:10:00,American Airlines,1969,A11,4
D,2018-04-01T07:15:00,Southwest Airlines,2761,C1,4
A,2018-04-01T07:15:00,Southwest Airlines,4341,D8,4
A,2018-04-01T07:15:00,American Airlines,664,A20,4
D,2018-04-01T07:15:00,Delta Air Lines,5810,15,3
D,2018-04-01T07:20:00,American Airlines,1271,A21,4
D,2018-04-01T07:20:00,American Airlines,1856,A29,4
D,2018-04-01T07:20:00,American Airlines,5728,B20,4
D,2018-04-01T07:20:00,American Airlines,5737,B21,4
D,2018-04-01T07:20:00,American Airlines,5925,B18,4
D,2018-04-01T07:20:00,United Airlines,656,6B,2
D,2018-04-01T07:25:00,American Airlines,1676,A30,4
D,2018-04-01T07:25:00,American Airlines,5714,B7,4
D,2018-04-01T07:25:00,Delta Air Lines,2162,19,3
D,2018-04-01T07:25:00,Frontier Airlines,1876,20,3
A,2018-04-01T07:27:00,American Airlines,689,A24,4
D,2018-04-01T07:29:00,Delta Air Lines,5705,23,3
D,2018-04-01T07:30:00,Southwest Airlines,5070,C8,4
A,2018-04-01T07:30:00,Southwest Airlines,2142,C7,4
A,2018-04-01T07:30:00,Southwest Airlines,4049,C9,4
D,2018-04-01T07:30:00,American Airlines,647,B6,4
D,2018-04-01T07:30:00,Hawaiian Airlines,35,24,3
D,2018-04-01T07:35:00,Southwest Airlines,2914,C16,4
A,2018-04-01T07:35:00,Southwest Airlines,3515,D3,4
D,2018-04-01T07:35:00,American Airlines,465,A26,4
D,2018-04-01T07:35:00,American Airlines,1709,B8,4
D,2018-04-01T07:35:00,American Airlines,3164,B2,4
A,2018-04-01T07:37:00,American Airlines,938,A27,4
D,2018-04-01T07:37:00,American Airlines,5934,B3,4
A,2018-04-01T07:40:00,American Airlines,1780,A8,4
A,2018-04-01T07:40:00,American Airlines,3041,B18,4
D,2018-04-01T07:40:00,American Airlines,1937,A6,4
D,2018-04-01T07:40:00,American Airlines,5960,B16,4
A,2018-04-01T07:43:00,American Airlines,3071,B20,4
A,2018-04-01T07:44:00,American Airlines,1650,B6,4
A,2018-04-01T07:45:00,American Airlines,761,A30,4
A,2018-04-01T07:45:00,American Airlines,3156,B19,4
D,2018-04-01T07:45:00,American Airlines,523,B4,4
A,2018-04-01T07:46:00,American Airlines,1398,A17,4
A,2018-04-01T07:48:00,American Airlines,595,A11,4
A,2018-04-01T07:48:00,American Airlines,5817,B1A,4
A,2018-04-01T07:48:00,American Airlines,3160,B3,4
A,2018-04-01T07:48:00,American Airlines,5760,B16,4
A,2018-04-01T07:50:00,Southwest Airlines,3246,C17,4
A,2018-04-02T14:29:00,American Airlines,500,A12,4
D,2018-04-02T14:30:00,Southwest Airlines,5656,C19,4
A,2018-04-02T14:31:00,American Airlines,634,A4,4
A,2018-04-02T14:34:00,American Airlines,628,A18,4
D,2018-04-02T14:35:00,Southwest Airlines,1130,D6,4
A,2018-04-02T14:35:00,Southwest Airlines,1422,C16,4
A,2018-04-02T14:35:00,Southwest Airlines,1771,D3,4
A,2018-04-02T14:39:00,American Airlines,467,A21,4
A,2018-04-02T14:40:00,American Airlines,3030,B7,4
D,2018-04-02T14:42:00,Delta Air Lines,2469,19,3
A,2018-04-02T14:42:00,American Airlines,2992,B17,4
D,2018-04-02T14:45:00,Southwest Airlines,5594,C7,4
A,2018-04-02T14:45:00,Southwest Airlines,1551,D5,4
A,2018-04-02T14:49:00,American Airlines,5715,B2,4
D,2018-04-02T14:50:00,Southwest Airlines,1912,D1,4
A,2018-04-02T14:50:00,Southwest Airlines,1378,D8,4
A,2018-04-02T14:50:00,American Airlines,2973,B21,4
D,2018-04-02T14:52:00,American Airlines,623,A20,4
A,2018-04-02T14:52:00,Frontier Airlines,1865,20,3
D,2018-04-02T14:55:00,Southwest Airlines,5371,C18,4
D,2018-04-02T14:55:00,Southwest Airlines,5904,D7,4
A,2018-04-02T14:55:00,United Airlines,373,6A,2
A,2018-04-02T14:59:00,American Airlines,3202,B16,4
D,2018-04-02T15:00:00,American Airlines,2063,A5,4
D,2018-04-02T15:00:00,American Airlines,3176,B1A,4
A,2018-04-02T15:05:00,Southwest Airlines,1431,C19,4
D,2018-04-02T15:10:00,American Airlines,1369,B13,4
A,2018-04-02T15:11:00,Frontier Airlines,755,25,3
A,2018-04-02T15:11:00,United Airlines,329,7,2
A,2018-04-02T15:13:00,American Airlines,571,B27,4
D,2018-04-02T15:15:00,Southwest Airlines,1422,C16,4
D,2018-04-02T15:15:00,American Airlines,2083,A6,4
D,2018-04-02T15:15:00,American Airlines,5831,B20,4
D,2018-04-02T15:15:00,American Airlines,5928,A1,4
A,2018-04-02T15:15:00,American Airlines,1422,B6,4
A,2018-04-02T15:15:00,American Airlines,528,A23,4
A,2018-04-02T15:16:00,American Airlines,535,B23,4
D,2018-04-02T15:17:00,American Airlines,551,A3,4
A,2018-04-02T15:18:00,United Airlines,1797,6B,2
A,2018-04-02T15:20:00,Southwest Airlines,6211,D7,4
D,2018-04-02T15:20:00,American Airlines,1848,A12,4
D,2018-04-02T15:20:00,American Airlines,1960,A7,4
D,2018-04-02T15:21:00,American Airlines,5939,B18,4
D,2018-04-02T15:22:00,American Airlines,5927,B3,4
A,2018-04-02T15:22:00,Volaris,974,B26,4
D,2018-04-02T15:24:00,American Airlines,985,A25,4
D,2018-04-02T15:25:00,Southwest Airlines,6382,D3,4
A,2018-04-02T15:25:00,Southwest Airlines,642,D6,4
A,2018-04-02T15:25:00,Southwest Airlines,6350,C9,4
D,2018-04-02T15:25:00,American Airlines,3037,B17,4
D,2018-04-02T15:25:00,American Airlines,5942,B19,4
A,2018-04-02T15:25:00,American Airlines,1829,A14,4
A,2018-04-02T15:25:00,Delta Air Lines,2046,16,3
