arrive_or_depart,schedule,airline,flight_number,gate,terminal
A,2019-04-01T15:35:00,Southwest Airlines,2326,C18,4
D,2019-04-01T15:35:00,American Airlines,5749,A1,4
A,2019-04-01T15:35:00,American Airlines,5891,B22,4
A,2019-04-01T15:36:00,American Airlines,1333,B4,4
A,2019-04-01T15:40:00,Southwest Airlines,2110,C8,4
D,2019-04-01T15:40:00,Air Canada,1057,B28,4
A,2019-04-01T15:40:00,American Airlines,1057,A17,4
A,2019-04-01T15:41:00,Volaris,974,B26,4
A,2019-04-01T15:41:00,American Airlines,601,A3,4
A,2019-04-01T15:42:00,Delta Air Lines,1228,F9,3
A,2019-04-01T15:44:00,American Airlines,590,A10,4
D,2019-04-01T15:48:00,American Airlines,417,A20,4
A,2019-04-01T15:49:00,American Airlines,210,A25,4
D,2019-04-01T15:50:00,Southwest Airlines,320,D8,4
D,2019-04-01T15:50:00,Southwest Airlines,2241,C1,4
A,2019-04-01T15:51:00,Delta Air Lines,1304,F8,3
A,2019-04-01T15:55:00,Southwest Airlines,433,D1,4
A,2019-04-01T15:55:00,Southwest Airlines,1557,D3,4
D,2019-04-01T15:55:00,Alaska Airlines,2803,11,2
A,2019-04-01T15:58:00,American Airlines,5945,B2,4
A,2019-04-01T15:59:00,American Airlines,2983,B19,4
A,2019-04-01T15:59:00,American Airlines,2065,A23,4
A,2019-04-01T16:00:00,Southwest Airlines,2432,C7,4
D,2019-04-01T16:02:00,United Airlines,2149,3,2
A,2019-04-01T16:02:00,American Airlines,5754,B9,4
A,2019-04-01T16:04:00,American Airlines,660,A18,4
A,2019-04-01T16:04:00,United Airlines,5661,7,2
D,2019-04-01T16:05:00,Southwest Airlines,2380,C3,4
A,2019-04-01T16:05:00,Southwest Airlines,2245,C3,4
D,2019-04-01T16:05:00,American Airlines,492,A8,4
A,2019-04-01T16:06:00,American Airlines,5782,B7,4
D,2019-04-01T16:10:00,Southwest Airlines,2068,D6,4
D,2019-04-01T16:10:00,American Airlines,889,A19,4
A,2019-04-01T16:10:00,American Airlines,2273,A22,4
D,2019-04-01T16:12:00,American Airlines,584,B27,4
A,2019-04-01T16:12:00,American Airlines,372,A7,4
A,2019-04-01T16:12:00,American Airlines,2029,A4,4
A,2019-04-01T16:14:00,American Airlines,428,A20,4
A,2019-04-01T16:14:00,American Airlines,952,B6,4
D,2019-04-01T16:15:00,Southwest Airlines,422,D7,4
D,2019-04-01T16:15:00,Southwest Airlines,2326,C18,4
D,2019-04-01T16:15:00,United Airlines,2355,6B,2
A,2019-04-01T16:17:00,American Airlines,5993,B12,4
D,2019-04-01T16:20:00,Southwest Airlines,2111,C8,4
A,2019-04-01T16:20:00,American Airlines,2013,A9,4
A,2019-04-01T16:20:00,American Airlines,439,B28,4
A,2019-04-01T16:20:00,Sun Country Airlines,605,F1,3
D,2019-04-01T16:21:00,American Airlines,2104,A11,4
A,2019-04-01T16:25:00,Southwest Airlines,1335,C16,4
D,2019-04-01T16:25:00,United Airlines,772,5,2
A,2019-04-01T16:25:00,Alaska Airlines,650,10,2
A,2019-04-01T16:25:00,Delta Air Lines,5800,F5,3
D,2019-04-01T16:26:00,Delta Air Lines,1494,F10,3
A,2019-04-01T16:26:00,American Airlines,3068,B20,4
A,2019-04-01T16:28:00,American Airlines,3022,A1,4
A,2019-04-01T16:30:00,Southwest Airlines,644,D5,4
A,2019-04-01T16:31:00,American Airlines,3120,B15B,4
D,2019-04-01T16:35:00,Southwest Airlines,433,D1,4
A,2019-04-01T16:35:00,Southwest Airlines,1026,C1,4
A,2019-04-01T16:35:00,Southwest Airlines,1682,C9,4
D,2019-04-01T16:35:00,American Airlines,775,A10,4
A,2019-04-01T16:35:00,WestJet,1516,B23,4
A,2019-04-01T16:37:00,United Airlines,2249,6A,2
D,2019-04-01T16:40:00,Southwest Airlines,2432,C9,4
D,2019-04-01T16:40:00,American Airlines,1588,B4,4
D,2019-04-01T16:40:00,United Airlines,5968,7,2
A,2019-04-01T16:40:00,Delta Air Lines,1499,F7,3
D,2019-04-01T16:42:00,Delta Air Lines,1228,F9,3
D,2019-04-01T16:45:00,Southwest Airlines,1557,D3,4
D,2019-04-01T16:45:00,Southwest Airlines,2245,C3,4
D,2019-04-01T16:45:00,American Airlines,839,A6,4
D,2019-04-01T16:45:00,American Airlines,3055,B19,4
D,2019-04-01T16:45:00,Delta Air Lines,1304,F8,3
A,2019-04-01T16:45:00,Southwest Airlines,5662,C19,4
D,2019-04-01T16:50:00,American Airlines,1386,A25,4
D,2019-04-01T16:52:00,American Airlines,5887,B9,4
D,2019-04-01T16:55:00,American Airlines,5885,B17,4
