arrive_or_depart,schedule,airline,flight_number,gate,terminal
D,2018-07-01T13:39:00,United Airlines,2135,8,2
D,2018-07-01T13:40:00,Southwest Airlines,3999,C16,4
A,2018-07-01T13:40:00,Air Canada,1837,B28,4
D,2018-07-01T13:40:00,American Airlines,1147,B27,4
D,2018-07-01T13:44:00,Alaska Airlines,581,11,2
D,2018-07-01T13:44:00,Delta Air Lines,1918,17,3
D,2018-07-01T13:45:00,Southwest Airlines,579,C9,4
D,2018-07-01T13:45:00,American Airlines,510,A22,4
D,2018-07-01T13:45:00,American Airlines,883,A21,4
D,2018-07-01T13:45:00,American Airlines,5722,B16,4
D,2018-07-01T13:47:00,American Airlines,1984,A4,4
D,2018-07-01T13:47:00,American Airlines,5956,A1,4
A,2018-07-01T13:49:00,American Airlines,533,B25,4
D,2018-07-01T13:50:00,Southwest Airlines,3215,D1,4
A,2018-07-01T13:50:00,American Airlines,777,A20,4
A,2018-07-01T13:50:00,Southwest Airlines,2760,C18,4
A,2018-07-01T13:50:00,Southwest Airlines,2757,D7,4
D,2018-07-01T13:50:00,American Airlines,2197,A25,4
D,2018-07-01T13:50:00,Delta Air Lines,5726,15,3
D,2018-07-01T13:52:00,American Airlines,5729,B21,4
A,2018-07-01T13:55:00,American Airlines,2969,B1A,4
D,2018-07-01T13:55:00,Southwest Airlines,4877,C13,4
D,2018-07-01T13:55:00,American Airlines,648,A12,4
D,2018-07-01T13:55:00,American Airlines,3144,B22,4
D,2018-07-01T13:55:00,American Airlines,5912,B18,4
A,2018-07-01T13:57:00,American Airlines,5915,B17,4
A,2018-07-01T13:57:00,American Airlines,5864,B2,4
D,2018-07-01T13:57:00,American Airlines,2659,B11,4
D,2018-07-01T13:59:00,American Airlines,694,A26,4
A,2018-07-01T14:00:00,American Airlines,2671,A19,4
A,2018-07-01T14:00:00,Air Canada,8304,B24,4
A,2018-07-01T14:00:00,Southwest Airlines,2700,C17,4
A,2018-07-01T14:00:00,Southwest Airlines,3763,D3,4
D,2018-07-01T14:00:00,Southwest Airlines,5194,C1,4
D,2018-07-01T14:00:00,Southwest Airlines,5924,D7,4
D,2018-07-01T14:00:00,American Airlines,899,A27,4
D,2018-07-01T14:00:00,American Airlines,1037,A18,4
A,2018-07-01T14:01:00,American Airlines,604,A10,4
D,2018-07-01T14:02:00,American Airlines,3256,B19,4
D,2018-07-01T14:05:00,Southwest Airlines,3542,C8,4
A,2018-07-01T14:05:00,American Airlines,1880,A30,4
A,2018-07-01T14:05:00,Southwest Airlines,3377,C3,4
D,2018-07-01T14:05:00,American Airlines,491,A5,4
D,2018-07-01T14:08:00,American Airlines,2063,A24,4
D,2018-07-01T14:10:00,Southwest Airlines,3566,C7,4
D,2018-07-01T14:10:00,American Airlines,2319,A17,4
A,2018-07-01T14:14:00,American Airlines,5859,B21,4
