arrive_or_depart,schedule,airline,flight_number,gate,terminal
D,2019-01-01T20:55:00,WestJet,1465,B23,4
A,2019-01-01T21:00:00,Southwest Airlines,224,D6,4
D,2019-01-01T21:00:00,Southwest Airlines,693,D8,4
A,2019-01-01T21:05:00,Southwest Airlines,1040,D5,4
D,2019-01-01T21:05:00,American Airlines,747,A24,4
D,2019-01-01T21:05:00,American Airlines,5870,A1,4
D,2019-01-01T21:07:00,Frontier Airlines,756,20,3
D,2019-01-01T21:07:00,American Airlines,2108,A8,4
D,2019-01-01T21:07:00,American Airlines,5791,B1A,4
D,2019-01-01T21:08:00,American Airlines,695,B4,4
D,2019-01-01T21:09:00,American Airlines,2637,A12,4
D,2019-01-01T21:09:00,American Airlines,5837,B1,4
A,2019-01-01T21:10:00,Southwest Airlines,1941,C11,4
D,2019-01-01T21:10:00,American Airlines,766,A20,4
D,2019-01-01T21:10:00,American Airlines,1878,A13,4
D,2019-01-01T21:10:00,Southwest Airlines,2850,C6,4
D,2019-01-01T21:12:00,American Airlines,3010,B2,4
D,2019-01-01T21:13:00,American Airlines,699,A27,4
D,2019-01-01T21:13:00,American Airlines,3085,B3,4
A,2019-01-01T21:15:00,Southwest Airlines,1367,C7,4
D,2019-01-01T21:15:00,American Airlines,820,A23,4
D,2019-01-01T21:15:00,American Airlines,3054,B16,4
D,2019-01-01T21:15:00,Southwest Airlines,488,C13,4
D,2019-01-01T21:16:00,American Airlines,2054,A17,4
D,2019-01-01T21:17:00,American Airlines,3131,B15B,4
D,2019-01-01T21:18:00,American Airlines,5719,B18,4
A,2019-01-01T21:20:00,Southwest Airlines,2274,C18,4
A,2019-01-01T21:20:00,Southwest Airlines,321,C1,4
D,2019-01-01T21:20:00,American Airlines,5958,B22,4
D,2019-01-01T21:21:00,American Airlines,221,B13,4
A,2019-01-01T21:22:00,United Airlines,594,6A,2
D,2019-01-01T21:22:00,American Airlines,2982,B20,4
D,2019-01-01T21:26:00,American Airlines,5762,B17,4
A,2019-01-01T21:28:00,Alaska Airlines,2247,10,2
D,2019-01-01T21:28:00,American Airlines,418,A4,4
D,2019-01-01T21:29:00,American Airlines,1681,A21,4
A,2019-01-01T21:30:00,Southwest Airlines,492,D8,4
D,2019-01-01T21:31:00,American Airlines,1107,A2,4
D,2019-01-01T21:32:00,American Airlines,2048,A26,4
A,2019-01-01T21:35:00,Southwest Airlines,1671,C3,4
A,2019-01-01T21:35:00,Southwest Airlines,255,C17,4
A,2019-01-01T21:35:00,Southwest Airlines,160,D1,4
D,2019-01-01T21:35:00,Southwest Airlines,502,C8,4
A,2019-01-01T21:38:00,American Airlines,5899,B1A,4
