arrive_or_depart,schedule,airline,flight_number,gate,terminal
D,2019-08-01T00:23:00,Frontier Airlines,1426,F2,3
D,2019-08-01T00:50:00,Spirit Airlines,972,2,2
D,2019-08-01T05:50:00,Frontier Airlines,2822,F1,3
D,2019-08-01T08:10:00,Hawaiian Airlines,35,F10A,3
D,2019-08-01T08:30:00,WestJet,1537,B27,4
D,2019-08-01T06:00:00,Delta Air Lines,5809,F9,3
D,2019-08-01T06:00:00,Delta Air Lines,1994,F10,3
D,2019-08-01T06:05:00,Delta Air Lines,5705,F6,3
D,2019-08-01T06:05:00,Delta Air Lines,1043,F8,3
D,2019-08-01T06:10:00,Delta Air Lines,1453,F2,3
D,2019-08-01T06:40:00,Delta Air Lines,1537,F7,3
D,2019-08-01T07:20:00,Delta Air Lines,1945,F4,3
D,2019-08-01T07:40:00,Delta Air Lines,5751,F5,3
D,2019-08-01T00:35:00,American Airlines,631,A5,4
D,2019-08-01T01:05:00,American Airlines,599,A7,4
A,2019-08-01T01:12:00,United Airlines,2060,5,2
D,2019-08-01T05:00:00,Southwest Airlines,1049,C19,4
D,2019-08-01T05:00:00,Southwest Airlines,1691,C3,4
D,2019-08-01T05:00:00,Southwest Airlines,2322,C17,4
D,2019-08-01T05:00:00,American Airlines,832,A20,4
D,2019-08-01T05:10:00,Southwest Airlines,2103,C6,4
D,2019-08-01T05:10:00,American Airlines,698,A19,4
D,2019-08-01T05:20:00,Southwest Airlines,1333,D4,4
D,2019-08-01T05:30:00,United Airlines,2356,3,2
D,2019-08-01T05:40:00,Southwest Airlines,1997,C2,4
D,2019-08-01T05:40:00,Southwest Airlines,2167,C4,4
D,2019-08-01T05:40:00,American Airlines,5836,B19,4
D,2019-08-01T05:50:00,Alaska Airlines,591,10,2
D,2019-08-01T05:55:00,Southwest Airlines,417,D7,4
A,2019-08-01T06:00:00,Southwest Airlines,339,C13,4
A,2019-08-01T06:00:00,Southwest Airlines,901,C6,4
A,2019-08-01T06:00:00,Southwest Airlines,1484,C17,4
D,2019-08-01T06:00:00,American Airlines,655,A3,4
A,2019-08-01T06:00:00,Southwest Airlines,2555,C19,4
D,2019-08-01T06:05:00,Southwest Airlines,993,D3,4
A,2019-08-01T06:05:00,Southwest Airlines,251,C2,4
A,2019-08-01T06:05:00,Southwest Airlines,287,D4,4
A,2019-08-01T06:06:00,American Airlines,1945,A26,4
A,2019-08-01T06:06:00,American Airlines,693,A24,4
A,2019-08-01T06:15:00,Southwest Airlines,2512,C4,4
D,2019-08-01T06:20:00,Southwest Airlines,1595,C3,4
D,2019-08-01T06:20:00,Southwest Airlines,2341,D6,4
A,2019-08-01T06:20:00,Southwest Airlines,5869,C16,4
A,2019-08-01T06:25:00,Southwest Airlines,1297,D8,4
D,2019-08-01T06:30:00,American Airlines,567,A21,4
D,2019-08-01T06:30:00,United Airlines,1131,5,2
A,2019-08-01T06:33:00,American Airlines,2847,A3,4
A,2019-08-01T06:35:00,American Airlines,2053,A10,4
D,2019-08-01T06:40:00,Southwest Airlines,2064,D4,4
D,2019-08-01T06:40:00,Southwest Airlines,2540,C11,4
D,2019-08-01T06:40:00,Southwest Airlines,5835,D1,4
A,2019-08-01T06:40:00,Southwest Airlines,181,D2,4
A,2019-08-01T06:40:00,Southwest Airlines,199,D3,4
A,2019-08-01T06:44:00,American Airlines,3133,B19,4
D,2019-08-01T06:45:00,Southwest Airlines,1484,C17,4
D,2019-08-01T06:45:00,Southwest Airlines,2555,C18,4
A,2019-08-01T06:45:00,Southwest Airlines,606,D5,4
D,2019-08-01T06:45:00,American Airlines,407,A27,4
A,2019-08-01T06:45:00,Southwest Airlines,2505,C7,4
A,2019-08-01T06:47:00,American Airlines,2005,A17,4
A,2019-08-01T06:48:00,American Airlines,1861,B11,4
A,2019-08-01T06:49:00,American Airlines,361,A19,4
D,2019-08-01T06:50:00,Southwest Airlines,2512,C4,4
A,2019-08-01T06:50:00,American Airlines,5865,B5,4
A,2019-08-01T06:50:00,American Airlines,5898,B21,4
D,2019-08-01T06:55:00,Southwest Airlines,2369,C13,4
D,2019-08-01T07:00:00,Southwest Airlines,1849,C12,4
D,2019-08-01T07:00:00,Southwest Airlines,2482,D7,4
D,2019-08-01T07:00:00,Southwest Airlines,2563,C19,4
A,2019-08-01T07:00:00,Southwest Airlines,257,D6,4
