arrive_or_depart,schedule,airline,flight_number,gate,terminal
A,2019-10-01T00:05:00,Southwest Airlines,237,C2,4
D,2019-10-01T00:29:00,Frontier Airlines,1426,F1,3
D,2019-10-01T00:49:00,Spirit Airlines,972,2,2
D,2019-10-01T09:00:00,WestJet,1537,B23,4
D,2019-10-01T15:10:00,Southwest Airlines,20,C17,4
D,2019-10-01T00:01:00,American Airlines,1542,A9,4
A,2019-10-01T00:35:00,Frontier Airlines,1429,F2,3
D,2019-10-01T00:40:00,American Airlines,592,A3,4
D,2019-10-01T01:05:00,American Airlines,599,A7,4
D,2019-10-01T05:00:00,American Airlines,507,A3,4
D,2019-10-01T05:15:00,American Airlines,698,A21,4
D,2019-10-01T05:30:00,United Airlines,2356,7,2
D,2019-10-01T05:45:00,Southwest Airlines,2233,C1,4
D,2019-10-01T05:45:00,Frontier Airlines,2822,F2,3
D,2019-10-01T05:50:00,American Airlines,5836,B17,4
D,2019-10-01T05:55:00,Southwest Airlines,2442,C7,4
D,2019-10-01T05:55:00,Alaska Airlines,591,10,2
A,2019-10-01T05:58:00,American Airlines,693,A20,4
D,2019-10-01T06:00:00,American Airlines,655,A5,4
D,2019-10-01T06:00:00,Delta Air Lines,848,F10,3
D,2019-10-01T06:00:00,Delta Air Lines,865,F7,3
D,2019-10-01T06:00:00,United Airlines,1904,6A,2
D,2019-10-01T06:01:00,Delta Air Lines,970,F8,3
D,2019-10-01T06:02:00,Delta Air Lines,1994,F5,3
A,2019-10-01T06:03:00,American Airlines,1945,A24,4
D,2019-10-01T06:10:00,Southwest Airlines,1601,C4,4
D,2019-10-01T06:15:00,Southwest Airlines,1627,C6,4
D,2019-10-01T06:15:00,Southwest Airlines,2667,C9,4
D,2019-10-01T06:15:00,Delta Air Lines,967,F6,3
D,2019-10-01T06:15:00,Delta Air Lines,1453,F1,3
A,2019-10-01T06:20:00,Southwest Airlines,1828,D8,4
D,2019-10-01T06:25:00,Southwest Airlines,5502,C17,4
D,2019-10-01T06:29:00,United Airlines,1131,3,2
D,2019-10-01T06:30:00,Southwest Airlines,1722,C13,4
D,2019-10-01T06:30:00,Southwest Airlines,2196,C8,4
A,2019-10-01T06:30:00,Southwest Airlines,1982,C1,4
A,2019-10-01T06:30:00,American Airlines,5898,B1,4
D,2019-10-01T06:35:00,Southwest Airlines,2144,C11,4
A,2019-10-01T06:35:00,Southwest Airlines,1979,C7,4
D,2019-10-01T06:35:00,American Airlines,567,A22,4
A,2019-10-01T06:36:00,American Airlines,2847,A11,4
A,2019-10-01T06:42:00,American Airlines,1861,A9,4
D,2019-10-01T06:45:00,American Airlines,407,A27,4
A,2019-10-01T06:47:00,American Airlines,5865,B1A,4
A,2019-10-01T06:48:00,American Airlines,361,A8,4
D,2019-10-01T06:50:00,Southwest Airlines,1590,C12,4
A,2019-10-01T06:50:00,Southwest Airlines,2141,C4,4
D,2019-10-01T06:50:00,Alaska Airlines,2805,11,2
D,2019-10-01T07:00:00,Southwest Airlines,824,D7,4
D,2019-10-01T07:00:00,Southwest Airlines,1634,C19,4
D,2019-10-01T07:00:00,Southwest Airlines,1828,D8,4
D,2019-10-01T07:00:00,Southwest Airlines,2299,D2,4
A,2019-10-01T07:00:00,American Airlines,2967,B5,4
A,2019-10-01T07:00:00,American Airlines,3251,B21,4
D,2019-10-01T07:00:00,American Airlines,601,A13,4
D,2019-10-01T07:00:00,Delta Air Lines,909,F4,3
D,2019-10-01T07:00:00,United Airlines,1774,6B,2
A,2019-10-01T07:01:00,American Airlines,697,A29,4
D,2019-10-01T07:05:00,Southwest Airlines,716,C3,4
D,2019-10-01T07:05:00,Southwest Airlines,1581,D6,4
D,2019-10-01T07:10:00,Southwest Airlines,1979,C7,4
D,2019-10-01T07:15:00,Southwest Airlines,1982,C1,4
A,2019-10-01T07:15:00,Southwest Airlines,1508,C6,4
A,2019-10-01T07:15:00,Southwest Airlines,2236,D5,4
D,2019-10-01T07:15:00,JetBlue Airways,5303,DX,3
A,2019-10-01T07:20:00,Southwest Airlines,1221,D4,4
D,2019-10-01T07:20:00,American Airlines,445,A19,4
D,2019-10-01T07:21:00,American Airlines,5710,B1,4
D,2019-10-01T07:25:00,Southwest Airlines,1211,C4,4
D,2019-10-01T07:25:00,American Airlines,1298,B11,4
D,2019-10-01T07:25:00,American Airlines,1765,A18,4
A,2019-10-01T07:30:00,Southwest Airlines,2028,C8,4
A,2019-10-01T07:30:00,Frontier Airlines,2415,F1,3
A,2019-10-01T07:31:00,American Airlines,1065,B10,4
A,2019-10-01T07:31:00,American Airlines,2027,A5,4
A,2019-10-01T07:32:00,American Airlines,3068,B1A,4
A,2019-10-01T07:35:00,American Airlines,1872,A23,4
A,2019-10-01T07:35:00,American Airlines,3038,B22,4
D,2019-10-01T07:35:00,American Airlines,486,B10,4
D,2019-10-01T07:35:00,United Airlines,656,8,2
D,2019-10-01T07:38:00,American Airlines,5988,B19,4
D,2019-10-01T07:40:00,Southwest Airlines,260,D5,4
A,2019-10-01T07:40:00,Southwest Airlines,114,D6,4
A,2019-10-01T07:40:00,Southwest Airlines,2506,C3,4
A,2019-10-01T07:40:00,Southwest Airlines,5530,D7,4
D,2019-10-01T07:40:00,American Airlines,5759,B3,4
D,2019-10-01T07:40:00,Delta Air Lines,5751,F8,3
A,2019-10-01T07:44:00,American Airlines,1808,B11,4
A,2019-10-01T07:45:00,Southwest Airlines,5523,C17,4
A,2019-10-01T07:46:00,American Airlines,625,A14,4
A,2019-10-01T07:47:00,American Airlines,1688,A7,4
A,2019-10-01T07:47:00,American Airlines,540,A25,4
A,2019-10-01T07:48:00,American Airlines,1910,A3,4
A,2019-10-01T07:49:00,American Airlines,664,A30,4
A,2019-10-01T07:49:00,American Airlines,3133,B15B,4
D,2019-10-01T07:50:00,Southwest Airlines,1509,C6,4
A,2019-10-01T07:50:00,Southwest Airlines,1360,C12,4
A,2019-10-01T07:50:00,Southwest Airlines,2258,D2,4
A,2019-10-01T07:50:00,Southwest Airlines,2293,C1,4
A,2019-10-01T07:50:00,Southwest Airlines,6812,C19,4
A,2019-10-01T07:50:00,American Airlines,5721,B18,4
D,2019-10-01T07:50:00,American Airlines,711,A9,4
A,2019-10-01T07:53:00,American Airlines,3041,B16,4
A,2019-10-01T07:54:00,American Airlines,1863,A18,4
A,2019-10-01T07:55:00,Southwest Airlines,1083,D8,4
A,2019-10-01T07:55:00,Southwest Airlines,2166,C13,4
A,2019-10-01T07:55:00,Southwest Airlines,2192,C7,4
A,2019-10-01T07:55:00,Southwest Airlines,2384,C9,4
A,2019-10-01T07:55:00,American Airlines,3103,B1,4
A,2019-10-01T07:56:00,American Airlines,1867,A13,4
A,2019-10-01T07:56:00,American Airlines,5826,B19,4
A,2019-10-01T07:58:00,American Airlines,675,A22,4
A,2019-10-01T07:59:00,American Airlines,5930,B17,4
A,2019-10-01T07:59:00,American Airlines,2974,A1,4
D,2019-10-01T08:00:00,Southwest Airlines,142,C14,4
D,2019-10-01T08:00:00,Southwest Airlines,659,C18,4
D,2019-10-01T08:00:00,Southwest Airlines,2512,C16,4
A,2019-10-01T08:00:00,Southwest Airlines,5501,C2,4
D,2019-10-01T08:05:00,Southwest Airlines,2028,C8,4
D,2019-10-01T08:05:00,Southwest Airlines,2236,C18,4
A,2019-10-01T08:05:00,Southwest Airlines,652,C11,4
D,2019-10-01T08:10:00,Southwest Airlines,1221,D4,4
A,2019-10-01T08:10:00,Sun Country Airlines,603,F3,3
D,2019-10-01T08:10:00,American Airlines,3196,B5,4
A,2019-10-01T08:11:00,American Airlines,1040,A4,4
A,2019-10-01T08:12:00,American Airlines,761,A17,4
A,2019-10-01T08:12:00,American Airlines,201,A26,4
D,2019-10-01T08:15:00,Southwest Airlines,2506,C3,4
A,2019-10-01T08:15:00,Southwest Airlines,1771,C6,4
A,2019-10-01T08:15:00,Southwest Airlines,4453,C4,4
A,2019-10-01T08:15:00,American Airlines,5928,B20,4
A,2019-10-01T08:17:00,United Airlines,248,7,2
A,2019-10-01T08:18:00,Delta Air Lines,2662,F7,3
D,2019-10-01T08:20:00,Southwest Airlines,114,D6,4
D,2019-10-01T08:20:00,American Airlines,739,A11,4
A,2019-10-01T08:22:00,American Airlines,1958,A12,4
A,2019-10-01T08:22:00,American Airlines,5835,B2,4
A,2019-10-01T08:25:00,Southwest Airlines,347,C14,4
D,2019-10-01T08:25:00,Frontier Airlines,2414,F1,3
D,2019-10-01T08:30:00,Southwest Airlines,205,D7,4
D,2019-10-01T08:30:00,Southwest Airlines,1143,C19,4
A,2019-10-01T08:30:00,American Airlines,497,A19,4
