arrive_or_depart,schedule,airline,flight_number,gate,terminal
A,2019-03-01T22:50:00,Southwest Airlines,1144,C11,4
D,2019-03-01T22:52:00,American Airlines,2578,A14,4
D,2019-03-01T22:53:00,American Airlines,3263,B16,4
A,2019-03-01T22:55:00,Southwest Airlines,546,D8,4
D,2019-03-01T22:58:00,American Airlines,1280,A18,4
D,2019-03-01T22:59:00,American Airlines,2985,B18,4
A,2019-03-01T23:03:00,United Airlines,2342,3,2
A,2019-03-01T23:05:00,American Airlines,1974,A24,4
A,2019-03-01T23:05:00,Southwest Airlines,5599,C14,4
A,2019-03-01T23:06:00,United Airlines,230,5,2
A,2019-03-01T23:13:00,Air Canada,1835,B27,4
D,2019-03-01T23:15:00,American Airlines,797,A23,4
A,2019-03-01T23:15:00,American Airlines,1984,A18,4
A,2019-03-01T23:20:00,Southwest Airlines,1426,D4,4
A,2019-03-01T23:25:00,Delta Air Lines,1440,F4,3
A,2019-03-01T23:25:00,Southwest Airlines,2134,C2,4
D,2019-03-01T23:30:00,American Airlines,1658,B13,4
D,2019-03-01T23:30:00,United Airlines,1976,8,2
A,2019-03-01T23:30:00,American Airlines,2097,A13,4
A,2019-03-01T23:30:00,Southwest Airlines,280,C18,4
A,2019-03-01T23:30:00,Southwest Airlines,1870,D6,4
D,2019-03-01T23:39:00,JetBlue Airways,602,F3,3
A,2019-03-01T23:40:00,United Airlines,2257,8,2
A,2019-03-01T23:41:00,American Airlines,3258,B2,4
A,2019-03-01T23:41:00,Delta Air Lines,2656,F7,3
D,2019-03-01T23:45:00,American Airlines,585,A4,4
A,2019-03-01T23:45:00,Southwest Airlines,1433,C7,4
A,2019-03-01T23:50:00,Southwest Airlines,950,C11,4
D,2019-03-01T23:55:00,Delta Air Lines,434,F6,3
D,2019-03-01T23:59:00,American Airlines,640,A7,4
A,2019-03-01T23:59:00,JetBlue Airways,1157,F3,3
A,2019-03-01T23:59:00,Alaska Airlines,632,10,2
D,2019-03-02T00:30:00,Air Canada,1834,B27,4
D,2019-03-02T00:59:00,Delta Air Lines,988,F8,3
D,2019-03-02T01:05:00,Sun Country Airlines,610,F2,3
D,2019-03-02T08:00:00,WestJet,1499,B23,4
D,2019-03-02T08:20:00,Air Canada,1055,B28,4
D,2019-03-02T13:45:00,Alaska Airlines,2907,10,2
A,2019-03-01T23:05:00,Alaska Airlines,2131,11,2
A,2019-03-02T00:50:00,Southwest Airlines,284,C2,4
D,2019-03-02T00:55:00,Delta Air Lines,8805,F5,3
D,2019-03-02T00:55:00,Delta Air Lines,971,F7,3
D,2019-03-02T07:00:00,Delta Air Lines,5814,F5,3
D,2019-03-02T07:00:00,Delta Air Lines,1487,F4,3
D,2019-03-02T07:30:00,Delta Air Lines,2147,F7,3
D,2019-03-02T08:15:00,Delta Air Lines,2296,F5,3
D,2019-03-02T08:25:00,Delta Air Lines,5851,F3,3
D,2019-03-02T08:25:00,Delta Air Lines,2240,F4,3
D,2019-03-02T09:00:00,Delta Air Lines,2247,F8,3
D,2019-03-01T22:30:00,Delta Air Lines,8933,WAC_2,3
D,2019-03-02T00:50:00,JetBlue Airways,1158,F3,3
D,2019-03-02T08:00:00,Hawaiian Airlines,35,F10,3
A,2019-03-02T13:21:00,Spirit Airlines,345,2,2
D,2019-03-02T14:30:00,Spirit Airlines,342,2,2
A,2019-03-02T19:03:00,American Airlines,57,B13,4
A,2019-03-02T19:35:00,American Airlines,515,B27,4
D,2019-03-02T06:20:00,American Airlines,1153,A21,4
D,2019-03-02T09:46:00,American Airlines,515,B27,4
A,2019-03-01T14:00:00,American Airlines,9618,B27,4
A,2019-03-02T00:05:00,Frontier Airlines,753,F1,3
A,2019-03-02T00:09:00,American Airlines,64,A14,4
A,2019-03-02T00:10:00,American Airlines,1992,A7,4
A,2019-03-02T00:49:00,Spirit Airlines,971,2,2
A,2019-03-02T00:55:00,American Airlines,2756,A6,4
A,2019-03-02T00:56:00,Frontier Airlines,1075,F1,3
A,2019-03-02T01:31:00,Delta Air Lines,738,F8,3
D,2019-03-02T01:59:00,Spirit Airlines,972,2,2
D,2019-03-02T06:00:00,Frontier Airlines,752,F1,3
D,2019-03-02T07:00:00,Delta Air Lines,609,F8,3
A,2019-03-02T07:01:00,American Airlines,1945,A22,4
D,2019-03-02T07:10:00,Frontier Airlines,2882,F2,3
A,2019-03-02T07:25:00,Alaska Airlines,172,11,2
A,2019-03-02T07:31:00,American Airlines,2096,B13,4
A,2019-03-02T07:32:00,American Airlines,693,B25,4
A,2019-03-02T07:40:00,American Airlines,2026,B8,4
A,2019-03-02T07:40:00,American Airlines,5898,B20,4
A,2019-03-02T07:42:00,American Airlines,3213,B15A,4
A,2019-03-02T07:44:00,American Airlines,2089,A9,4
A,2019-03-02T07:44:00,American Airlines,5867,B16,4
A,2019-03-02T07:45:00,American Airlines,1346,A4,4
A,2019-03-02T07:45:00,Southwest Airlines,2873,C9,4
A,2019-03-02T07:46:00,American Airlines,2967,B12,4
A,2019-03-02T07:47:00,American Airlines,2053,A5,4
A,2019-03-02T07:47:00,American Airlines,1096,A19,4
A,2019-03-02T07:48:00,American Airlines,1861,A11,4
A,2019-03-02T07:48:00,American Airlines,5865,B12,4
A,2019-03-02T07:49:00,American Airlines,5757,B17,4
A,2019-03-02T07:52:00,American Airlines,1765,A21,4
A,2019-03-02T08:00:00,Southwest Airlines,1119,D8,4
A,2019-03-02T08:05:00,American Airlines,697,A26,4
A,2019-03-02T08:10:00,Southwest Airlines,2390,C7,4
A,2019-03-02T08:10:00,Southwest Airlines,3072,C19,4
A,2019-03-02T08:15:00,American Airlines,664,A20,4
A,2019-03-02T08:16:00,American Airlines,1688,A30,4
A,2019-03-02T08:25:00,Frontier Airlines,1731,F1,3
A,2019-03-02T08:33:00,American Airlines,1895,A23,4
A,2019-03-02T08:35:00,American Airlines,2658,A6,4
A,2019-03-02T08:39:00,American Airlines,1757,A8,4
A,2019-03-02T08:44:00,American Airlines,3038,B18,4
A,2019-03-02T08:45:00,American Airlines,5721,A1,4
A,2019-03-02T08:46:00,American Airlines,1065,B4,4
A,2019-03-02T08:46:00,American Airlines,1808,A14,4
A,2019-03-02T08:48:00,American Airlines,2035,A13,4
A,2019-03-02T08:48:00,American Airlines,3251,B7,4
A,2019-03-02T08:49:00,American Airlines,5777,B7,4
A,2019-03-02T08:50:00,American Airlines,1040,B11,4
A,2019-03-02T08:52:00,American Airlines,5806,B1A,4
A,2019-03-02T08:53:00,American Airlines,2015,A17,4
A,2019-03-02T08:55:00,American Airlines,625,A27,4
A,2019-03-02T08:55:00,Southwest Airlines,4769,D3,4
A,2019-03-02T08:56:00,American Airlines,2974,B21,4
A,2019-03-02T08:56:00,American Airlines,5813,B15A,4
A,2019-03-02T08:56:00,United Airlines,2330,7,2
A,2019-03-02T08:57:00,American Airlines,3132,B1,4
A,2019-03-02T08:57:00,American Airlines,459,A3,4
A,2019-03-02T08:57:00,American Airlines,516,A2,4
D,2019-03-01T00:30:00,Air Canada,1834,B28,4
D,2019-03-01T06:00:00,Frontier Airlines,752,F3,3
D,2019-03-01T08:00:00,WestJet,1499,B23,4
D,2019-03-01T08:00:00,Hawaiian Airlines,35,F10,3
D,2019-03-01T08:20:00,Air Canada,1055,B27,4
D,2019-03-01T08:30:00,Delta Air Lines,2974,F4,3
D,2019-03-01T00:35:00,Delta Air Lines,1477,F8,3
D,2019-03-01T00:47:00,Delta Air Lines,988,F4,3
D,2019-03-01T00:50:00,JetBlue Airways,1158,F3,3
D,2019-03-01T07:00:00,Delta Air Lines,2664,F1,3
D,2019-03-01T07:00:00,Delta Air Lines,2634,F5,3
D,2019-03-01T07:00:00,Delta Air Lines,1487,F7,3
D,2019-03-01T07:20:00,Delta Air Lines,5840,F4,3
D,2019-03-01T07:30:00,Delta Air Lines,973,F3,3
D,2019-03-01T08:00:00,Delta Air Lines,1186,F5,3
D,2019-03-01T08:15:00,Delta Air Lines,5733,F6,3
D,2019-03-01T01:05:00,Sun Country Airlines,610,F1,3
D,2019-03-01T13:45:00,Alaska Airlines,2907,10,2
A,2019-03-01T20:25:00,Alaska Airlines,2906,10,2
A,2019-03-01T00:00:00,Southwest Airlines,284,C3,4
D,2019-03-01T00:20:00,American Airlines,2651,A6,4
D,2019-03-01T00:40:00,United Airlines,1023,6B,2
A,2019-03-01T00:49:00,Spirit Airlines,971,2,2
D,2019-03-01T01:12:00,American Airlines,1542,A4,4
D,2019-03-01T01:15:00,American Airlines,291,A9,4
D,2019-03-01T01:36:00,American Airlines,447,A5,4
D,2019-03-01T01:59:00,Spirit Airlines,972,2,2
D,2019-03-01T02:22:00,American Airlines,599,A13,4
D,2019-03-01T06:00:00,American Airlines,507,A11,4
D,2019-03-01T06:00:00,Alaska Airlines,631,10,2
D,2019-03-01T06:05:00,Southwest Airlines,491,D2,4
D,2019-03-01T06:08:00,Delta Air Lines,5751,F6,3
D,2019-03-01T06:10:00,United Airlines,2159,6B,2
D,2019-03-01T06:10:00,Southwest Airlines,2212,D1,4
D,2019-03-01T06:15:00,American Airlines,2765,A6,4
D,2019-03-01T06:15:00,Southwest Airlines,377,C2,4
D,2019-03-01T06:15:00,Southwest Airlines,1281,D7,4
D,2019-03-01T06:20:00,American Airlines,1153,A3,4
D,2019-03-01T06:20:00,Southwest Airlines,947,D7,4
D,2019-03-01T06:21:00,United Airlines,2384,8,2
D,2019-03-01T06:35:00,Southwest Airlines,2167,C12,4
D,2019-03-01T06:40:00,Southwest Airlines,342,D4,4
D,2019-03-01T06:40:00,Southwest Airlines,848,C17,4
D,2019-03-01T06:50:00,Southwest Airlines,1088,C13,4
D,2019-03-01T06:55:00,Southwest Airlines,1395,D2,4
D,2019-03-01T07:00:00,American Airlines,3196,B7,4
D,2019-03-01T07:00:00,American Airlines,5836,A1,4
D,2019-03-01T07:00:00,Alaska Airlines,959,11,2
D,2019-03-01T07:00:00,Southwest Airlines,805,C17,4
D,2019-03-01T07:00:00,Southwest Airlines,6299,D5,4
D,2019-03-01T07:05:00,Southwest Airlines,569,C7,4
D,2019-03-01T07:10:00,Frontier Airlines,1074,F2,3
D,2019-03-01T07:10:00,Southwest Airlines,973,C2,4
D,2019-03-01T07:10:00,Southwest Airlines,1912,D2,4
D,2019-03-01T07:15:00,United Airlines,799,7,2
D,2019-03-01T07:15:00,Southwest Airlines,245,D2,4
D,2019-03-01T07:25:00,Southwest Airlines,931,D8,4
D,2019-03-01T07:30:00,American Airlines,407,A18,4
D,2019-03-01T07:30:00,American Airlines,567,A7,4
D,2019-03-01T07:30:00,Southwest Airlines,2153,C11,4
A,2019-03-01T07:32:00,American Airlines,693,B25,4
D,2019-03-01T07:40:00,Southwest Airlines,1462,C14,4
D,2019-03-01T07:50:00,American Airlines,659,A5,4
D,2019-03-01T07:50:00,Southwest Airlines,2261,D8,4
D,2019-03-01T08:00:00,American Airlines,623,A13,4
D,2019-03-01T08:00:00,Alaska Airlines,637,10,2
D,2019-03-01T08:00:00,Southwest Airlines,957,D3,4
D,2019-03-01T08:03:00,United Airlines,1774,5,2
D,2019-03-01T08:05:00,American Airlines,1940,B10,4
D,2019-03-01T08:15:00,Southwest Airlines,4055,C9,4
D,2019-03-01T08:20:00,American Airlines,414,B24,4
D,2019-03-01T08:20:00,American Airlines,445,A25,4
D,2019-03-01T08:20:00,American Airlines,2105,A8,4
D,2019-03-01T08:20:00,American Airlines,5952,B20,4
D,2019-03-01T08:23:00,American Airlines,592,A19,4
D,2019-03-01T08:25:00,American Airlines,5925,B17,4
A,2019-03-01T08:25:00,Frontier Airlines,1731,F1,3
D,2019-03-01T08:30:00,United Airlines,656,3,2
D,2019-03-01T08:35:00,American Airlines,5802,B18,4
D,2019-03-01T08:35:00,Southwest Airlines,1882,D2,4
D,2019-03-01T08:37:00,American Airlines,438,A22,4
D,2019-03-01T08:38:00,American Airlines,3210,B21,4
D,2019-03-01T08:40:00,American Airlines,5792,B15A,4
D,2019-03-01T08:40:00,Southwest Airlines,2281,D7,4
D,2019-03-01T08:40:00,Southwest Airlines,5601,C16,4
D,2019-03-01T08:42:00,American Airlines,5736,B16,4
D,2019-03-01T08:43:00,American Airlines,1273,A9,4
D,2019-03-01T08:45:00,American Airlines,1880,A4,4
D,2019-03-01T08:45:00,Southwest Airlines,1337,C14,4
D,2019-03-01T08:47:00,American Airlines,486,A21,4
D,2019-03-01T08:50:00,Southwest Airlines,2132,C18,4
D,2019-03-01T08:55:00,Southwest Airlines,28,D4,4
D,2019-03-01T08:55:00,Southwest Airlines,1776,D5,4
A,2019-03-01T08:58:00,Frontier Airlines,2414,F2,3
D,2019-03-01T09:00:00,Alaska Airlines,1893,10,2
D,2019-03-01T09:05:00,Southwest Airlines,2321,D8,4
D,2019-03-01T09:10:00,Southwest Airlines,3338,C2,4
D,2019-03-01T09:10:00,Southwest Airlines,419,C1,4
D,2019-03-01T09:15:00,Frontier Airlines,1730,F1,3
D,2019-03-01T09:20:00,American Airlines,1703,A3,4
D,2019-03-01T09:20:00,Delta Air Lines,352,F8,3
D,2019-03-01T09:20:00,Southwest Airlines,1012,C8,4
D,2019-03-01T09:25:00,American Airlines,482,B13,4
A,2019-03-01T09:25:00,Sun Country Airlines,603,F3,3
D,2019-03-01T09:35:00,American Airlines,493,B8,4
D,2019-03-01T09:35:00,American Airlines,2017,A8,4
D,2019-03-01T09:35:00,Southwest Airlines,975,D7,4
D,2019-03-01T09:35:00,Southwest Airlines,2082,C19,4
D,2019-03-01T09:36:00,American Airlines,1959,A25,4
D,2019-03-01T09:37:00,American Airlines,1702,A26,4
D,2019-03-01T09:38:00,American Airlines,532,A10,4
D,2019-03-01T09:38:00,American Airlines,590,B4,4
D,2019-03-01T09:39:00,American Airlines,854,A13,4
D,2019-03-01T09:39:00,American Airlines,3006,B12,4
D,2019-03-01T09:39:00,American Airlines,5811,B20,4
D,2019-03-01T09:40:00,American Airlines,619,B6,4
A,2019-03-02T08:58:00,Frontier Airlines,2414,CX,3
A,2019-03-02T09:00:00,American Airlines,3103,B15B,4
A,2019-03-02T09:00:00,American Airlines,2042,A21,4
A,2019-03-02T09:05:00,American Airlines,1867,A18,4
A,2019-03-02T09:05:00,Southwest Airlines,4822,C9,4
A,2019-03-02T09:05:00,Southwest Airlines,4445,C3,4
A,2019-03-02T09:10:00,Sun Country Airlines,611,F2,3
A,2019-03-02T09:10:00,Southwest Airlines,3034,D6,4
A,2019-03-02T09:13:00,American Airlines,201,A5,4
A,2019-03-02T09:14:00,American Airlines,761,A11,4
D,2019-03-02T09:15:00,Frontier Airlines,1730,J,3
A,2019-03-02T09:15:00,American Airlines,5805,B2,4
A,2019-03-02T09:15:00,Delta Air Lines,956,F10,3
A,2019-03-02T09:15:00,Southwest Airlines,5489,D4,4
A,2019-03-02T09:15:00,Southwest Airlines,4870,C17,4
A,2019-03-02T09:15:00,Southwest Airlines,3303,D7,4
A,2019-03-02T09:19:00,Delta Air Lines,800,F9,3
A,2019-03-02T09:20:00,Southwest Airlines,2385,D2,4
A,2019-03-02T09:20:00,Southwest Airlines,5383,D5,4
A,2019-03-02T09:22:00,American Airlines,5835,B20,4
A,2019-03-02T09:25:00,Southwest Airlines,5352,C11,4
A,2019-03-02T09:25:00,Southwest Airlines,5371,C11,4
A,2019-03-02T09:28:00,WestJet,1922,B23,4
A,2019-03-02T09:30:00,Southwest Airlines,4150,C1,4
A,2019-03-02T09:30:00,Southwest Airlines,5360,C13,4
A,2019-03-02T09:30:00,Southwest Airlines,4717,C18,4
A,2019-03-02T09:30:00,Southwest Airlines,4439,C2,4
A,2019-03-02T09:35:00,Southwest Airlines,5513,C19,4
D,2019-03-02T09:40:00,American Airlines,1696,B25,4
A,2019-03-02T09:45:00,American Airlines,1672,A25,4
A,2019-03-02T09:50:00,Alaska Airlines,636,10,2
A,2019-03-02T09:54:00,American Airlines,1958,B13,4
A,2019-03-02T09:55:00,Southwest Airlines,2684,C7,4
A,2019-03-02T09:55:00,Southwest Airlines,3812,C8,4
A,2019-03-02T09:56:00,American Airlines,5789,B9,4
A,2019-03-02T09:56:00,American Airlines,1795,A10,4
A,2019-03-02T09:56:00,American Airlines,1770,A26,4
D,2019-03-02T09:58:00,Frontier Airlines,1042,CX,3
A,2019-03-02T09:58:00,United Airlines,237,5,2
A,2019-03-02T09:59:00,Delta Air Lines,1238,F4,3
A,2019-03-02T10:00:00,American Airlines,2574,A12,4
A,2019-03-02T10:00:00,Southwest Airlines,4025,D3,4
A,2019-03-02T10:02:00,American Airlines,1633,B6,4
A,2019-03-02T10:05:00,American Airlines,572,A9,4
A,2019-03-02T10:07:00,American Airlines,524,B10,4
A,2019-03-02T10:07:00,American Airlines,5991,B22,4
D,2019-03-02T10:10:00,Sun Country Airlines,612,F2,3
A,2019-03-02T10:10:00,American Airlines,5869,B1A,4
A,2019-03-02T10:13:00,American Airlines,5889,B21,4
A,2019-03-02T10:14:00,American Airlines,605,A24,4
A,2019-03-02T10:14:00,American Airlines,1381,A21,4
A,2019-03-02T10:15:00,Southwest Airlines,4096,C9,4
A,2019-03-02T10:16:00,American Airlines,464,A2,4
A,2019-03-02T10:17:00,American Airlines,2260,A27,4
A,2019-03-02T10:17:00,American Airlines,5717,B16,4
A,2019-03-02T10:18:00,American Airlines,834,A17,4
A,2019-03-02T10:18:00,American Airlines,442,A8,4
A,2019-03-02T10:19:00,American Airlines,499,A6,4
A,2019-03-02T10:19:00,American Airlines,455,B11,4
A,2019-03-02T10:20:00,American Airlines,3175,B18,4
A,2019-03-02T10:21:00,American Airlines,5758,B20,4
A,2019-03-02T10:23:00,American Airlines,1634,A11,4
A,2019-03-02T10:23:00,American Airlines,5934,A1,4
A,2019-03-02T10:25:00,American Airlines,1678,B25,4
A,2019-03-02T10:27:00,American Airlines,1487,B4,4
A,2019-03-02T10:27:00,Delta Air Lines,1470,F7,3
A,2019-03-02T10:28:00,American Airlines,520,A3,4
A,2019-03-02T10:30:00,Southwest Airlines,2370,D2,4
A,2019-03-02T10:30:00,Sun Country Airlines,685,F3,3
A,2019-03-02T10:35:00,Southwest Airlines,4902,C13,4
A,2019-03-02T10:42:00,Delta Air Lines,5743,F5,3
A,2019-03-02T10:44:00,United Airlines,667,6B,2
A,2019-03-02T10:55:00,Southwest Airlines,4398,C18,4
A,2019-03-02T10:55:00,Southwest Airlines,3941,C3,4
A,2019-03-02T10:59:00,United Airlines,5411,7,2
A,2019-03-02T11:00:00,Southwest Airlines,4104,C17,4
A,2019-03-02T11:00:00,Southwest Airlines,5520,C14,4
A,2019-03-02T11:00:00,Southwest Airlines,2361,D7,4
A,2019-03-02T11:05:00,Southwest Airlines,3955,D6,4
A,2019-03-02T11:05:00,Southwest Airlines,4114,D6,4
A,2019-03-02T11:05:00,Southwest Airlines,4868,D5,4
A,2019-03-02T11:05:00,Southwest Airlines,4585,D4,4
D,2019-03-02T11:10:00,WestJet,1325,B23,4
A,2019-03-02T11:10:00,Southwest Airlines,2835,C8,4
A,2019-03-02T11:13:00,Frontier Airlines,751,F3,3
A,2019-03-02T11:15:00,Southwest Airlines,3696,C11,4
A,2019-03-02T11:18:00,American Airlines,1827,A18,4
D,2019-03-02T11:20:00,Sun Country Airlines,604,F3,3
A,2019-03-02T11:22:00,Delta Air Lines,2522,F2,3
A,2019-03-02T11:25:00,Southwest Airlines,3736,C19,4
A,2019-03-02T11:25:00,Southwest Airlines,2840,C14,4
A,2019-03-02T11:25:00,Southwest Airlines,4908,D3,4
A,2019-03-02T11:25:00,WestJet,1532,B27,4
A,2019-03-02T11:27:00,Delta Air Lines,968,F8,3
A,2019-03-02T11:30:00,American Airlines,5925,B12,4
A,2019-03-02T11:30:00,Alaska Airlines,684,11,2
A,2019-03-02T11:30:00,Alaska Airlines,644,10,2
A,2019-03-02T11:30:00,Southwest Airlines,4616,D8,4
A,2019-03-02T11:30:00,Southwest Airlines,4354,C2,4
A,2019-03-02T11:35:00,Southwest Airlines,3133,C13,4
A,2019-03-02T11:35:00,Southwest Airlines,2783,C7,4
A,2019-03-02T11:38:00,United Airlines,2273,8,2
A,2019-03-02T11:39:00,Delta Air Lines,1622,F6,3
A,2019-03-02T11:40:00,Southwest Airlines,3151,C12,4
A,2019-03-02T11:40:00,Southwest Airlines,3332,D2,4
