arrive_or_depart,schedule,airline,flight_number,gate,terminal
A,2019-12-01T00:45:00,Southwest Airlines,3525,C8,4
D,2019-12-01T01:00:00,Sun Country Airlines,610,F10,3
D,2019-12-01T00:42:00,American Airlines,292,DX,4
D,2019-12-01T06:40:00,American Airlines,5836,B3,4
D,2019-12-01T08:26:00,American Airlines,5802,B21,4
D,2019-12-01T00:42:00,American Airlines,2998,DX,4
D,2019-12-01T00:26:00,American Airlines,3269,B2,4
D,2019-12-01T00:46:00,American Airlines,222,DX,4
D,2019-12-01T00:40:00,American Airlines,2262,DX,4
D,2019-12-01T07:00:00,Delta Air Lines,1537,F7,3
D,2019-12-01T08:25:00,Delta Air Lines,5699,F6,3
A,2019-12-01T00:40:00,Southwest Airlines,4092,C6,4
D,2019-12-01T00:37:00,JetBlue Airways,1158,F3,3
D,2019-12-01T08:00:00,Delta Air Lines,1945,F7,3
D,2019-12-01T07:00:00,Delta Air Lines,2007,F6,3
D,2019-12-01T06:44:00,Delta Air Lines,5809,F9,3
D,2019-12-01T06:00:00,Delta Air Lines,1001,F3,3
D,2019-12-01T00:05:00,Air Canada,1834,B27,4
D,2019-12-01T07:05:00,Delta Air Lines,1453,F5,3
D,2019-12-01T08:15:00,Delta Air Lines,2738,F8,3
A,2019-12-01T00:40:00,Southwest Airlines,6180,D7,4
D,2019-12-01T00:23:00,American Airlines,1502,A13,4
D,2019-12-01T00:30:00,American Airlines,1832,B28,4
D,2019-12-01T00:35:00,Alaska Airlines,129,11,2
D,2019-12-01T00:36:00,United Airlines,2383,6B,2
D,2019-12-01T00:40:00,American Airlines,1052,B14,4
D,2019-12-01T00:40:00,American Airlines,1672,A25,4
D,2019-12-01T00:40:00,American Airlines,1737,A14,4
D,2019-12-01T00:40:00,American Airlines,2860,A4,4
D,2019-12-01T00:42:00,American Airlines,2951,B5,4
D,2019-12-01T00:44:00,American Airlines,1461,A20,4
D,2019-12-01T00:45:00,United Airlines,1976,3,2
D,2019-12-01T00:50:00,American Airlines,2910,B13,4
D,2019-12-01T00:53:00,United Airlines,1756,6B,2
D,2019-12-01T00:55:00,American Airlines,2894,A7,4
